stock_name,date,open,high,low,close,volume
PFE,2014-01-31 19:00:00,19.0507,19.0507,18.8502,18.8502,3693
PFE,2014-01-31 17:00:00,19.0382,19.0695,19.0382,19.0695,421
PFE,2014-01-31 16:00:00,19.0507,19.0758,19.0319,19.0382,8171101
PFE,2014-01-31 15:00:00,19.1291,19.1385,18.9818,19.0507,10491101
PFE,2014-01-31 14:00:00,19.1573,19.2043,19.1134,19.1322,3873454
PFE,2014-01-31 13:00:00,19.1395,19.1635,19.0821,19.1548,3882551
PFE,2014-01-31 12:00:00,19.1427,19.1698,19.104,19.1391,2907908
PFE,2014-01-31 11:00:00,19.0507,19.1698,19.0194,19.1441,4919149
PFE,2014-01-31 10:00:00,19.0821,19.1134,18.9317,19.0507,4458762
PFE,2014-01-31 09:00:00,19.0821,19.2137,19.0257,19.0821,3211249
PFE,2014-01-31 08:00:00,19.1823,19.1823,19.0507,19.0507,4400
PFE,2014-01-30 19:00:00,19.2701,19.2701,19.2701,19.2701,263
PFE,2014-01-30 18:00:00,19.3265,19.3265,19.3265,19.3265,105
PFE,2014-01-30 16:00:00,19.3139,19.3139,19.047,19.047,2676363
PFE,2014-01-30 15:00:00,19.2701,19.3327,19.2575,19.3139,7243989
PFE,2014-01-30 14:00:00,19.2575,19.3202,19.2481,19.2638,3759457
PFE,2014-01-30 13:00:00,19.2074,19.2575,19.1886,19.2575,2924130
PFE,2014-01-30 12:00:00,19.1385,19.2325,19.1259,19.2074,4010650
PFE,2014-01-30 11:00:00,19.0319,19.1385,19.0006,19.1366,3483623
PFE,2014-01-30 10:00:00,19.0695,19.0821,18.9317,19.0257,3969980
PFE,2014-01-30 09:00:00,18.9567,19.1447,18.8815,19.0695,2986834
PFE,2014-01-30 07:00:00,18.8941,18.9191,18.8941,18.9191,1384
PFE,2014-01-30 06:00:00,18.869,18.869,18.869,18.869,1370
PFE,2014-01-29 19:00:00,18.8941,18.9191,18.8941,18.9191,333
PFE,2014-01-29 18:00:00,18.9191,18.9191,18.8941,18.8941,463
PFE,2014-01-29 17:00:00,18.8753,18.8753,18.8753,18.8753,25085
PFE,2014-01-29 16:00:00,18.869,18.9491,18.8439,18.869,1541099
PFE,2014-01-29 15:00:00,18.8627,18.9505,18.8377,18.869,6638664
PFE,2014-01-29 14:00:00,18.963,19.0131,18.8189,18.8671,5249077
PFE,2014-01-29 13:00:00,18.9817,18.9818,18.9223,18.9567,2056608
PFE,2014-01-29 12:00:00,18.9317,18.9818,18.8627,18.9818,2479337
PFE,2014-01-29 11:00:00,18.9881,19.0382,18.9191,18.9379,2950252
PFE,2014-01-29 10:00:00,19.0319,19.0883,18.9191,18.9912,4876537
PFE,2014-01-29 09:00:00,18.9881,19.0382,18.8001,19.0319,3777609
PFE,2014-01-29 08:00:00,19.0633,19.0633,18.9818,18.9818,4277
