,date,returns,rewards,portfolio_values
0,2023-03-29,0.0,0.0,100000.0
1,2023-03-30,0.003785546875000101,-18.232696210041055,100378.5546875
2,2023-03-31,0.012298822402954102,-68.17630890332664,101613.09375
3,2023-04-03,0.014120101928710938,-118.5235357895857,103047.875
4,2023-04-04,-0.00375211238861084,-119.78095997207696,102661.2265625
5,2023-04-05,0.006482720375061035,-127.86450588222509,103326.75
6,2023-04-06,0.004263639450073242,-136.14392225353086,103767.296875
7,2023-04-10,-0.0038884878158569336,-133.822889623863,103363.796875
8,2023-04-11,-0.0014113783836364746,-129.5819373876031,103217.9140625
9,2023-04-12,-0.000901639461517334,-124.92628032796253,103124.8515625
10,2023-04-13,0.013262033462524414,-132.69030652433494,104492.5
11,2023-04-14,0.007756829261779785,-146.76339968650305,105303.03125
12,2023-04-17,-0.002400636672973633,-152.55351950035845,105050.234375
13,2023-04-18,-0.0037343502044677734,-152.83933093892162,104657.9375
14,2023-04-19,0.0013422966003417969,-153.27019902121697,104798.421875
15,2023-04-20,-0.0015592575073242188,-152.08715296635617,104635.015625
16,2023-04-21,0.0032830238342285156,-152.4558427879378,104978.53125
17,2023-04-24,0.003725290298461914,-154.5892167535933,105369.6015625
18,2023-04-25,-0.012108206748962402,-150.95435037176856,104093.765625
19,2023-04-26,-0.0027527809143066406,-147.19869818310528,103807.21875
20,2023-04-27,0.01611912250518799,-149.16750110624974,105480.5
21,2023-04-28,0.005823254585266113,-154.16150744025614,106094.7421875
22,2023-05-01,-0.0027936697006225586,-156.2304882058125,105798.3515625
23,2023-05-02,-0.013913273811340332,-153.2000896116978,104326.3515625
24,2023-05-03,-0.011386096477508545,-150.8105144967569,103138.484375
25,2023-05-04,-0.008778870105743408,-151.13132159922134,102233.046875
26,2023-05-05,0.01749277114868164,-148.33976785617247,104021.390625
27,2023-05-08,0.0010591745376586914,-145.78648695515224,104131.5625
28,2023-05-09,-0.005388319492340088,-143.313116188573,103570.46875
29,2023-05-10,0.0037087202072143555,-140.91209858608514,103954.5859375
30,2023-05-11,-0.0007473230361938477,-138.61602914554004,103876.8984375
31,2023-05-12,-0.0013527870178222656,-136.4295144525711,103736.375
32,2023-05-15,7.62939453125e-06,-134.3417362083053,103737.171875
33,2023-05-16,-0.0031458139419555664,-132.51507916268957,103410.8359375
34,2023-05-17,0.010765314102172852,-131.1445634227164,104524.0859375
35,2023-05-18,0.003118276596069336,-130.4004252722292,104850.0234375
36,2023-05-19,0.0012360811233520508,-129.91053388416094,104979.625
37,2023-05-22,0.0004724264144897461,-129.4878620441211,105029.21875
38,2023-05-23,-0.0014740824699401855,-128.70998223804693,104874.3984375
39,2023-05-24,-0.005819082260131836,-127.1878686686148,104264.125
40,2023-05-25,0.0005731582641601562,-125.75218004401577,104323.8828125
41,2023-05-26,0.006220221519470215,-125.20009846719711,104972.796875
42,2023-05-30,-0.004659712314605713,-123.96754481004042,104483.65625
43,2023-05-31,-0.005254983901977539,-122.54577778444666,103934.59375
44,2023-06-01,0.005593538284301758,-121.41246108348892,104515.953125
45,2023-06-02,0.015648484230041504,-124.0858825218318,106151.46875
46,2023-06-05,-0.0007498264312744141,-126.17476943263961,106071.875
47,2023-06-06,0.0010367631912231445,-128.355724908041,106181.8515625
48,2023-06-07,0.0025635957717895508,-131.18230463211881,106454.0625
49,2023-06-08,0.0038721561431884766,-135.1660795470438,106866.2734375
50,2023-06-09,-0.00016134977340698242,-138.63180320363136,106849.03125
51,2023-06-12,0.005002140998840332,-143.6968541990763,107383.5078125
52,2023-06-13,0.004128217697143555,-149.97278901544468,107826.8046875
53,2023-06-14,-0.0032882094383239746,-154.17871864431655,107472.25
54,2023-06-15,0.012114286422729492,-163.19353081665932,108774.1953125
55,2023-06-16,-0.0034749507904052734,-169.55049057965184,108396.2109375
56,2023-06-20,-0.011490464210510254,-171.30991262126494,107150.6875
57,2023-06-21,-0.004369795322418213,-171.8408094515263,106682.4609375
58,2023-06-22,0.000982046127319336,-172.49198047726563,106787.234375
