TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative
30,3,5,5,0.01,935424.94,-0.384763658373408,1.3312269862385122,9.354249375,150983.86,-0.2882622633151649,0.9097820761878426,1.50983859375
30,3,5,5,0.02,822409.75,-0.36229621168752596,1.2470782937138496,8.2240975,190940.89,-0.21029340371423202,1.3453132867406774,1.90940890625
30,3,5,10,0.01,237483.28,-0.3420593234334023,0.7804476766984537,2.3748328125,128788.664,-0.15351296593422825,0.8888510286976197,1.287886640625
30,3,5,10,0.02,452880.97,-0.2845669012804153,0.9426308332889928,4.5288096875,215230.22,-0.18778840898128685,1.6456047989729294,2.1523021875
30,3,5,20,0.01,244637.3,-0.3525212652568281,0.7817568844848296,2.44637296875,130033.42,-0.15929619536249093,0.8911522388638908,1.30033421875
30,3,5,20,0.02,675263.94,-0.2803930148136604,1.1945050339788965,6.752639375,191186.8,-0.24210127314334315,1.4109865919013138,1.91186796875
30,3,10,5,0.01,239270.12,-0.3446627116828163,0.7808252362303623,2.39270125,129106.51,-0.15496488092302285,0.8895570456286668,1.291065078125
30,3,10,5,0.02,1088707.5,-0.2804929751532952,1.424686776492183,10.887075,173405.0,-0.2076546239412393,1.1499549512158418,1.73405
30,3,10,10,0.01,1024831.6,-0.28039278084291364,1.4215762045870362,10.24831625,160005.48,-0.2056144706054107,1.0616889437830572,1.60005484375
30,3,10,10,0.02,747051.3,-0.2803245885917329,1.266254840362146,7.470513125,179660.22,-0.19327427420372037,1.1952961628676688,1.7966021875
30,3,10,20,0.01,433945.44,-0.4361251350796013,0.9104218969804084,4.339454375,125715.93,-0.24395460108805642,0.5901824721724107,1.257159296875
30,3,10,20,0.02,1071542.6,-0.29192736119251267,1.4295571849176003,10.71542625,167513.8,-0.18735423715430857,1.0999856189005766,1.67513796875
30,3,20,5,0.01,1258324.8,-0.2911251830920973,1.5195214481568666,12.5832475,127904.1,-0.13393148917705375,0.8054619607410222,1.279041015625
30,3,20,5,0.02,611663.2,-0.28039441636718937,1.0975406319171255,6.116631875,116931.484,-0.22767564633473705,0.4340134405342981,1.16931484375
30,3,20,10,0.01,848246.9,-0.2803880075824473,1.3003470590225634,8.48246875,208259.97,-0.18458966315336944,1.596127844839467,2.0825996875
30,3,20,10,0.02,648318.6,-0.4374445682896074,1.1203487727847574,6.48318625,136726.22,-0.34739388382393943,0.7530665285561579,1.3672621875
30,3,20,20,0.01,975033.6,-0.4420497422967867,1.3143590105920497,9.75033625,155826.8,-0.17788792144503365,1.029365678948002,1.55826796875
30,3,20,20,0.02,100000.0,0.0,,1.0,100000.0,0.0,,1.0
30,4,5,5,0.01,367292.72,-0.31069786798000826,0.9972981163931774,3.6729271875,128488.64,-0.22265123541497528,0.7055104696378566,1.28488640625
30,4,5,5,0.02,745863.1,-0.31458068522153587,1.2362427601229344,7.45863125,199140.8,-0.20722257645390932,1.4342918618784712,1.99140796875
30,4,5,10,0.01,921414.5,-0.28039304870106924,1.3527638625913172,9.214145,162798.08,-0.23509467023768882,1.0834376525747507,1.62798078125
30,4,5,10,0.02,510342.28,-0.2803930551550091,1.0200771647963942,5.1034228125,197520.73,-0.19428749619488148,1.4540100154955478,1.97520734375
30,4,5,20,0.01,1011960.3,-0.2803106846844498,1.3799305514985514,10.119603125,178238.52,-0.22944561396682722,1.2276730086745837,1.78238515625
30,4,5,20,0.02,826072.0,-0.28039284363525274,1.2866515180395273,8.26072,182771.69,-0.18665901568375928,1.3265989170896804,1.827716875
30,4,10,5,0.01,237975.7,-0.3427763373621238,0.7805571336094678,2.37975703125,128876.94,-0.15391389093012048,0.8890633945485688,1.288769375
30,4,10,5,0.02,480277.22,-0.28039300689454205,0.9490533951423842,4.8027721875,182728.69,-0.19033345223867393,1.2464135120310817,1.827286875
30,4,10,10,0.01,239658.34,-0.3452246507999044,0.7809075228389945,2.3965834375,129176.016,-0.15527679488986218,0.8897283432806419,1.29176015625
30,4,10,10,0.02,926231.1,-0.33428301101116054,1.346006915752816,9.26231125,221457.3,-0.19185304538890835,1.6173260493779504,2.21457296875
30,4,10,20,0.01,244322.97,-0.35223730977303563,0.7815364462634407,2.4432296875,129966.69,-0.1591013941290884,0.8906210974492949,1.299666875
30,4,10,20,0.02,1372030.0,-0.2836591426508446,1.5200463870826126,13.7203,179189.98,-0.2181822518916124,1.2372780611837821,1.79189984375
30,4,20,5,0.01,239975.53,-0.3456851530352967,0.7809731930689666,2.3997553125,129231.44,-0.15553186730891677,0.8898384572742155,1.292314375
30,4,20,5,0.02,242315.61,-0.34943455066921336,0.781063605452508,2.42315609375,129616.57,-0.15752211563595536,0.8898187407483134,1.296165703125
30,4,20,10,0.01,238414.23,-0.3434156171054312,0.780650222368638,2.38414234375,128955.08,-0.15426849643914167,0.8892413371881802,1.28955078125
30,4,20,10,0.02,686442.25,-0.2803811671235702,1.204826955490068,6.8644225,71486.58,-0.4526887989552173,-0.4983695587379233,0.71486578125
30,4,20,20,0.01,328270.5,-0.4944400062466772,0.748691129663422,3.282705,179697.61,-0.1981278367232361,1.2328092760650187,1.79697609375
30,4,20,20,0.02,640487.1,-0.4349569624667762,1.0261511850404146,6.40487125,246149.23,-0.19968444890131393,1.8706808511011968,2.46149234375
30,5,5,5,0.01,583278.6,-0.3806971738326236,1.090982665624971,5.83278625,200632.03,-0.17505200547452077,1.4173151170135536,2.0063203125
30,5,5,5,0.02,739456.25,-0.2803911302752548,1.2593967774884673,7.3945625,71230.88,-0.5068192396981084,-0.5738097593609137,0.712308828125
30,5,5,10,0.01,705047.7,-0.32520300188893114,1.1788768409650534,7.050476875,158781.28,-0.2936741766166531,0.9895179278348937,1.5878128125
30,5,5,10,0.02,1056407.9,-0.2778450309773799,1.394019240331987,10.56407875,203736.69,-0.19266816663882183,1.4651746496727638,2.037366875
30,5,5,20,0.01,782959.1,-0.4296023413277036,1.2025917382441662,7.82959125,187611.92,-0.20161459749687471,1.3462349698446905,1.87611921875
30,5,5,20,0.02,630221.3,-0.2927008161136066,1.1663412189749403,6.302213125,86518.05,-0.45036416631244197,-0.17758071186787705,0.86518046875
30,5,10,5,0.01,847980.44,-0.3782921268905971,1.2556647855755791,8.479804375,165367.44,-0.2298504271950946,1.1059122970964936,1.653674375
30,5,10,5,0.02,686930.56,-0.4105233678506397,1.136167141232553,6.869305625,125438.78,-0.34965857629601627,0.5791737672259704,1.2543878125
30,5,10,10,0.01,1151366.5,-0.2802533923890233,1.3739969036519653,11.513665,189912.58,-0.25345462001626423,1.3597067923112096,1.89912578125
30,5,10,10,0.02,1002275.44,-0.2803656032101217,1.3116647472044514,10.022754375,185821.27,-0.1890272340938784,1.3390384491154292,1.85821265625
30,5,10,20,0.01,1077011.0,-0.28039247752490587,1.3877484182289703,10.77011,180543.72,-0.23383498562713578,1.2721096100636022,1.8054371875
30,5,10,20,0.02,482232.62,-0.38515889536557973,0.9766451764638018,4.82232625,214106.81,-0.17498521811660772,1.5109072958182437,2.141068125
30,5,20,5,0.01,1026302.4,-0.2860906236988561,1.3055747842135856,10.26302375,131758.5,-0.14957165840862324,0.9119253175209212,1.317585
30,5,20,5,0.02,100000.0,0.0,,1.0,100000.0,0.0,,1.0
30,5,20,10,0.01,932897.1,-0.34963036811289067,1.3020915901770174,9.32897125,187806.47,-0.20803906670562045,1.3175522636315722,1.8780646875
30,5,20,10,0.02,100000.0,0.0,,1.0,100000.0,0.0,,1.0
30,5,20,20,0.01,720719.4,-0.38515169139317795,1.1819455414266864,7.20719375,164252.72,-0.22618326258922453,1.0737681066832234,1.6425271875
30,5,20,20,0.02,100000.0,0.0,,1.0,100000.0,0.0,,1.0
60,3,5,5,0.01,234809.22,-0.3461122247542186,0.7709071785197045,2.3480921875,125704.445,-0.15585166468966927,0.8415601103067838,1.257044453125
60,3,5,5,0.02,238794.08,-0.35239950350423516,0.771473274016724,2.38794078125,126308.97,-0.15924770067558844,0.8423791766866192,1.2630896875
60,3,5,10,0.01,733895.3,-0.2775835997182609,1.3218965288308198,7.338953125,111920.18,-0.22471441807709505,0.3735479846191076,1.119201796875
60,3,5,10,0.02,239018.34,-0.35259919727825084,0.7716400079590456,2.3901834375,126349.38,-0.15935597065793844,0.842851533203107,1.263493828125
60,3,5,20,0.01,780622.2,-0.2803931629070332,1.2931340692646403,7.806221875,170140.62,-0.1748506720323262,1.2350871997821016,1.70140625
60,3,5,20,0.02,660920.94,-0.4328361594818825,1.1220120996172158,6.609209375,202277.38,-0.23480656358742483,1.553285425153906,2.02277375
