TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,Normalized Cumulative,Normalized Sharpe,Normalized Max Drawdown,Metric
30,4,10,10,0.01,954618.9,-0.316805267,1.328914145,9.54618875,149695.17,-0.108877197,2.091158325,1.496951719,0.744865767,0.785793197,0.556693755,0.69578424
30,5,20,20,0.02,944380.75,-0.280392991,1.374796949,9.4438075,140131.84,-0.076338491,1.961456805,1.401318438,0.635539391,0.753371243,0.689178905,0.692696513
30,4,20,10,0.02,661487.94,-0.385158901,1.113006712,6.614879375,149268,-0.112004649,2.063228081,1.49268,0.739982409,0.778811374,0.543959971,0.687584585
60,4,10,20,0.02,900257.8,-0.314274684,1.322339297,9.002578125,140773.72,-0.108877417,2.074836825,1.407737188,0.6428772,0.781713253,0.55669286,0.660427771
30,5,20,10,0.01,737274.3,-0.426574632,1.148841876,7.372743125,141258.62,-0.105068016,1.920759193,1.41258625,0.648420567,0.743197915,0.572203281,0.654607254
90,4,20,20,0.01,750745.1,-0.385158573,1.229487356,7.50745125,139991.8,-0.125876746,2.218215858,1.399917969,0.633938399,0.817554225,0.487478107,0.646323577
30,3,5,20,0.01,971129.1,-0.391712991,1.312430031,9.71129125,141142.9,-0.107076349,1.818085873,1.411429063,0.64709769,0.717532296,0.56402612,0.642885368
30,3,10,20,0.01,756393.56,-0.321114974,1.230625993,7.563935625,134523.62,-0.108922765,2.005971649,1.34523625,0.571427168,0.764498778,0.556508222,0.630811389
30,5,20,20,0.01,859284.4,-0.280392977,1.305223792,8.59284375,138162.66,-0.108473673,1.774074489,1.381626563,0.613027968,0.706530613,0.558336753,0.625965111
90,4,10,5,0.01,733560.75,-0.28038924,1.230897866,7.3356075,132864.2,-0.108876892,1.924314549,1.328642031,0.552456933,0.74408666,0.556694998,0.617746197
30,4,5,20,0.02,307530.88,-0.34826362,0.92316146,3.07530875,139279.52,-0.118891439,1.715735582,1.392795156,0.625795718,0.691947427,0.515919599,0.611220915
30,4,5,5,0.02,812565.25,-0.282053659,1.257538383,8.1256525,139917.39,-0.118574442,1.670605979,1.399173906,0.633087799,0.680666218,0.517210288,0.610321435
30,3,20,20,0.01,447429.12,-0.300911353,0.987416381,4.47429125,135832.52,-0.108863665,1.680107651,1.358325156,0.586390188,0.683041385,0.556748855,0.608726809
30,3,5,20,0.02,822690.1,-0.314270512,1.266048217,8.22690125,133073.36,-0.111270589,1.668571627,1.330733594,0.554847973,0.680157684,0.54694878,0.593984812
60,5,10,5,0.02,789788.1,-0.338975093,1.221217588,7.89788125,133057.97,-0.108877278,1.616243558,1.330579688,0.55467203,0.667077048,0.556693427,0.592814168
30,5,5,10,0.01,837520.6,-0.280393029,1.305983826,8.37520625,133436.67,-0.107680542,1.562449254,1.334366719,0.559001301,0.653629893,0.56156608,0.591399091
30,4,10,20,0.01,742034.2,-0.402309716,1.181445522,7.420341875,136968.19,-0.12038289,1.586443498,1.369681875,0.599373,0.65962782,0.509846984,0.589615935
60,5,5,5,0.02,647400.9,-0.280393082,1.176209105,6.47400875,129091.305,-0.111264247,1.747175237,1.290913047,0.509325786,0.69980651,0.546974603,0.585368967
90,4,20,10,0.01,716400.4,-0.314252594,1.236574892,7.16400375,127320.89,-0.111901373,1.824029674,1.273208906,0.489086707,0.71901809,0.54438047,0.584161756
30,5,20,5,0.01,784107.3,-0.315386565,1.257461494,7.841073125,136832.61,-0.124590622,1.589028881,1.368326094,0.597823093,0.660274098,0.492714708,0.583603966
30,5,5,5,0.02,636174,-0.280393052,1.164168736,6.36174,134847.56,-0.118516856,1.541283505,1.348475625,0.575130368,0.648339015,0.517444758,0.580304713
60,5,10,10,0.01,506562.2,-0.354534101,1.066354079,5.065621875,124165.84,-0.111890705,1.643275986,1.241658438,0.453018736,0.673834441,0.544423905,0.557092361
