,date,stock_name,open,high,low,close,volume
0,2020-01-31 19:00:00,MSFT,162.9588,163.045,162.8246,162.8246,7161
1,2020-01-31 18:00:00,MSFT,163.2655,163.3038,162.9588,162.9588,16775
2,2020-01-31 17:00:00,MSFT,163.4667,163.4667,163.1409,163.208,23355
3,2020-01-31 16:00:00,MSFT,163.1409,163.5913,162.9492,163.4763,4688779
4,2020-01-31 15:00:00,MSFT,163.5817,163.7446,162.585,163.0834,6198792
5,2020-01-31 14:00:00,MSFT,163.4955,164.1759,163.4284,163.5817,2725490
6,2020-01-31 13:00:00,MSFT,163.3613,163.6584,163.0163,163.4929,2373901
7,2020-01-31 12:00:00,MSFT,163.5338,163.553,162.7479,163.3709,2633006
8,2020-01-31 11:00:00,MSFT,163.668,163.8405,162.5179,163.5338,3882993
9,2020-01-31 10:00:00,MSFT,164.5592,164.5592,163.1888,163.6488,4885860
10,2020-01-31 09:00:00,MSFT,164.9135,165.2684,164.0321,164.5592,3829927
11,2020-01-31 08:00:00,MSFT,165.106,165.2972,164.358,164.933,45575
12,2020-01-31 07:00:00,MSFT,164.9713,165.2588,164.6934,164.8372,46536
13,2020-01-31 06:00:00,MSFT,165.0288,165.0288,164.8947,165.0288,3367
14,2020-01-31 05:00:00,MSFT,165.1726,165.2876,164.7701,164.8467,3234
15,2020-01-31 04:00:00,MSFT,165.5847,165.6613,164.9713,164.9713,7374
16,2020-01-30 19:00:00,MSFT,165.6997,165.7955,165.508,165.7476,18395
17,2020-01-30 18:00:00,MSFT,165.6997,165.7955,165.5272,165.6038,40213
18,2020-01-30 17:00:00,MSFT,165.6613,165.9872,165.5847,165.6997,25304
19,2020-01-30 16:00:00,MSFT,165.5368,166.0543,165.3259,165.7859,3818997
20,2020-01-30 15:00:00,MSFT,165.4122,166.0878,165.0672,165.5463,6826670
21,2020-01-30 14:00:00,MSFT,164.1471,165.6901,164.1184,165.393,4320805
22,2020-01-30 13:00:00,MSFT,164.2526,164.5401,163.8309,164.1423,2534202
23,2020-01-30 12:00:00,MSFT,164.6352,165.0145,163.6775,164.2407,3909522
24,2020-01-30 11:00:00,MSFT,164.5497,165.2109,164.4442,164.6263,4175286
25,2020-01-30 10:00:00,MSFT,165.2588,165.5943,164.1951,164.5401,7814089
26,2020-01-30 09:00:00,MSFT,167.0893,167.6068,165.2301,165.2589,11409990
27,2020-01-30 08:00:00,MSFT,166.5622,167.7601,166.3226,167.0893,403291
28,2020-01-30 07:00:00,MSFT,166.8497,167.7122,166.198,166.706,330183
29,2020-01-30 06:00:00,MSFT,166.2747,166.9935,165.9872,166.9935,23397
30,2020-01-30 05:00:00,MSFT,166.5622,166.6772,166.3705,166.6101,16692
31,2020-01-30 04:00:00,MSFT,166.9455,167.0605,166.3705,166.5622,31096
32,2020-01-29 19:00:00,MSFT,167.8656,168.1243,167.0414,167.7122,148152
33,2020-01-29 18:00:00,MSFT,166.4184,168.8623,166.083,167.9231,620989
34,2020-01-29 17:00:00,MSFT,165.9297,166.4568,165.1247,166.083,411877
35,2020-01-29 16:00:00,MSFT,161.0421,165.9009,160.5246,165.9009,6161777
36,2020-01-29 15:00:00,MSFT,161.3967,161.4829,160.63,161.1762,5200522
37,2020-01-29 14:00:00,MSFT,161.0996,161.7225,160.975,161.39,2748684
38,2020-01-29 13:00:00,MSFT,160.8935,161.3679,160.4862,161.1187,1971008
39,2020-01-29 12:00:00,MSFT,160.2658,161.0996,160.2514,160.8887,2358540
40,2020-01-29 11:00:00,MSFT,160.1173,160.3329,159.94,160.2658,2264899
41,2020-01-29 10:00:00,MSFT,159.432,160.1891,158.7899,160.122,3454988
42,2020-01-29 09:00:00,MSFT,160.3329,161.0517,159.1733,159.4416,4137688
43,2020-01-29 08:00:00,MSFT,160.285,160.4479,159.9495,160.3329,156379
44,2020-01-29 07:00:00,MSFT,159.9975,160.4287,159.9495,160.3137,105681
45,2020-01-29 06:00:00,MSFT,159.8058,160.0454,159.7579,159.7579,9379
46,2020-01-29 05:00:00,MSFT,159.8058,159.8058,159.7195,159.8058,3822
47,2020-01-29 04:00:00,MSFT,159.6141,160.0358,159.6141,159.7866,8627
48,2020-01-28 19:00:00,MSFT,159.2499,159.4224,159.087,159.3649,33774
49,2020-01-28 18:00:00,MSFT,159.6141,159.6141,158.8954,159.1829,64799
50,2020-01-28 17:00:00,MSFT,159.2691,159.7195,158.5695,159.595,1479024
51,2020-01-28 16:00:00,MSFT,158.5695,159.662,158.5695,159.2691,4661191
52,2020-01-28 15:00:00,MSFT,158.6749,158.8522,158.4928,158.5695,3385844
53,2020-01-28 14:00:00,MSFT,158.3491,158.7516,158.3491,158.6749,1554277
54,2020-01-28 13:00:00,MSFT,158.397,158.4694,157.8891,158.3491,1250015
55,2020-01-28 12:00:00,MSFT,158.512,158.6941,158.2533,158.4066,1343425
56,2020-01-28 11:00:00,MSFT,158.167,158.6989,157.8987,158.512,2005114
57,2020-01-28 10:00:00,MSFT,157.0745,158.397,157.0553,158.167,2992878
58,2020-01-28 09:00:00,MSFT,157.1703,157.3045,156.2819,157.0649,2538657
59,2020-01-28 08:00:00,MSFT,156.5953,157.3716,156.4707,156.9882,61576
60,2020-01-28 07:00:00,MSFT,156.4707,157.2278,156.4707,157.0266,47908
61,2020-01-28 06:00:00,MSFT,156.2024,156.4515,155.9245,156.4515,4099
62,2020-01-28 05:00:00,MSFT,156.1545,156.4515,156.049,156.2024,5647
63,2020-01-28 04:00:00,MSFT,156.2215,156.2503,155.982,156.0011,1467
64,2020-01-27 19:00:00,MSFT,155.7328,155.8957,155.5794,155.6657,20429
65,2020-01-27 18:00:00,MSFT,155.474,155.8478,155.474,155.5986,14442
66,2020-01-27 17:00:00,MSFT,155.4644,155.5219,155.378,155.4932,604897
67,2020-01-27 16:00:00,MSFT,155.5219,155.5219,155.2824,155.3974,7549549
68,2020-01-27 15:00:00,MSFT,155.7328,155.9915,155.2632,155.5028,3477996
69,2020-01-27 14:00:00,MSFT,156.1928,156.2934,155.4549,155.7424,1697091
70,2020-01-27 13:00:00,MSFT,156.1832,156.4228,155.9628,156.1832,1506072
71,2020-01-27 12:00:00,MSFT,156.0874,156.5713,155.8382,156.1839,1730997
72,2020-01-27 11:00:00,MSFT,155.5118,156.2838,155.4069,156.0922,2537983
73,2020-01-27 10:00:00,MSFT,155.3015,155.934,154.9996,155.5076,3319963
74,2020-01-27 09:00:00,MSFT,155.3974,155.6082,153.5286,155.2919,4432249
75,2020-01-27 08:00:00,MSFT,154.7891,155.4357,154.7891,155.2536,112170
76,2020-01-27 07:00:00,MSFT,154.9853,155.4165,154.784,155.1098,63662
77,2020-01-27 06:00:00,MSFT,154.439,155.2344,154.3911,155.0236,25629
78,2020-01-27 05:00:00,MSFT,155.1961,155.1961,154.4007,154.4198,20490
79,2020-01-27 04:00:00,MSFT,156.5857,156.5857,154.9948,155.3494,31549
80,2020-01-24 19:00:00,MSFT,158.0232,158.052,157.9274,157.9657,10066
81,2020-01-24 18:00:00,MSFT,158.052,158.0999,158.0328,158.0328,2408
82,2020-01-24 17:00:00,MSFT,158.1285,158.1287,158.0328,158.0328,9021
83,2020-01-24 16:00:00,MSFT,158.167,159.2452,158.052,158.0808,3364456
84,2020-01-24 15:00:00,MSFT,158.1574,158.7081,157.7262,158.167,4559170
85,2020-01-24 14:00:00,MSFT,158.3727,158.4545,157.6016,158.1682,2823307
86,2020-01-24 13:00:00,MSFT,159.4399,159.4464,157.9849,158.373,1924519
87,2020-01-24 12:00:00,MSFT,159.7675,159.8058,158.8352,159.432,2038273
