,date,stock_name,open,high,low,close,volume
0,2016-01-29 19:00:00,CVX,59.5859,59.5859,59.5445,59.5445,820
1,2016-01-29 18:00:00,CVX,59.5859,59.6066,59.5859,59.6066,2100
2,2016-01-29 17:00:00,CVX,59.5928,59.6066,59.5859,59.5859,11231
3,2016-01-29 16:00:00,CVX,59.5652,59.5928,59.5101,59.5928,3286362
4,2016-01-29 15:00:00,CVX,59.0897,59.7582,59.0139,59.5652,3670363
5,2016-01-29 14:00:00,CVX,58.9449,59.2103,58.8071,59.0966,1414364
6,2016-01-29 13:00:00,CVX,58.5177,59.0414,58.497,58.9312,1290997
7,2016-01-29 12:00:00,CVX,57.8285,58.6831,57.7389,58.5314,1507099
8,2016-01-29 11:00:00,CVX,58.4212,58.5728,57.1669,57.8216,2122577
9,2016-01-29 10:00:00,CVX,58.6417,59.0345,57.987,58.4143,2756611
10,2016-01-29 09:00:00,CVX,58.1179,58.8981,57.4494,58.6279,2480631
11,2016-01-29 08:00:00,CVX,59.2689,59.6755,57.9732,58.1455,36490
12,2016-01-28 19:00:00,CVX,59.1862,59.2689,59.131,59.2689,1890
13,2016-01-28 18:00:00,CVX,59.131,59.131,59.131,59.131,200
14,2016-01-28 17:00:00,CVX,59.3309,59.3309,59.1655,59.1655,748
15,2016-01-28 16:00:00,CVX,59.2137,59.3309,59.0208,59.2343,654874
16,2016-01-28 15:00:00,CVX,59.007,59.2826,58.7589,59.1724,2434059
17,2016-01-28 14:00:00,CVX,58.6762,59.0897,58.6624,59.0208,1129528
18,2016-01-28 13:00:00,CVX,58.7727,58.9518,58.5177,58.6831,1132418
19,2016-01-28 12:00:00,CVX,58.497,59.3441,58.4763,58.7795,1128160
20,2016-01-28 11:00:00,CVX,58.4736,59.3378,58.2902,58.4832,1295714
21,2016-01-28 10:00:00,CVX,59.324,59.3309,57.6838,58.4763,2038815
22,2016-01-28 09:00:00,CVX,58.3729,59.7444,58.3729,59.334,1748114
23,2016-01-28 08:00:00,CVX,58.4487,58.4487,57.7871,58.3729,8115
24,2016-01-28 07:00:00,CVX,57.6355,57.6355,57.6355,57.6355,100
25,2016-01-28 06:00:00,CVX,57.8905,57.8905,57.8905,57.8905,4814
26,2016-01-28 04:00:00,CVX,57.8905,57.8905,57.8905,57.8905,100
27,2016-01-27 19:00:00,CVX,57.4425,57.4425,57.4081,57.4081,1546
28,2016-01-27 18:00:00,CVX,57.5459,57.5459,57.5321,57.5321,550
29,2016-01-27 17:00:00,CVX,57.477,57.5459,57.477,57.5459,950
30,2016-01-27 16:00:00,CVX,57.4012,57.5804,57.4012,57.5459,546670
31,2016-01-27 15:00:00,CVX,57.8423,57.8524,56.7603,57.4012,2189851
32,2016-01-27 14:00:00,CVX,58.9518,59.3378,57.6217,57.8492,1783275
33,2016-01-27 13:00:00,CVX,58.6762,58.9656,58.4281,58.9656,830130
34,2016-01-27 12:00:00,CVX,58.8898,59.0552,58.5177,58.6968,930587
35,2016-01-27 11:00:00,CVX,58.111,59.1172,57.9181,58.9001,1341034
36,2016-01-27 10:00:00,CVX,57.5942,58.3247,57.2013,58.1248,2143069
37,2016-01-27 09:00:00,CVX,57.6079,57.9732,57.0428,57.5735,1114767
38,2016-01-27 08:00:00,CVX,57.3116,57.6355,57.2703,57.5459,8015
39,2016-01-27 07:00:00,CVX,57.2771,57.2771,57.2771,57.2771,100
40,2016-01-26 19:00:00,CVX,57.2014,57.5873,57.2013,57.5873,800
41,2016-01-26 18:00:00,CVX,57.4081,57.5115,57.2703,57.4908,3800
42,2016-01-26 17:00:00,CVX,57.4839,57.5115,57.3736,57.4082,8626
43,2016-01-26 16:00:00,CVX,57.9732,57.9732,57.4839,57.4839,980263
44,2016-01-26 15:00:00,CVX,57.5046,58.0077,57.2978,57.9732,2039734
45,2016-01-26 14:00:00,CVX,57.794,57.8285,57.3323,57.5115,1049649
46,2016-01-26 13:00:00,CVX,57.8698,58.0766,57.7044,57.8009,614397
47,2016-01-26 12:00:00,CVX,57.8561,58.2351,57.8285,57.8629,1088098
48,2016-01-26 11:00:00,CVX,57.5597,58.0421,57.5321,57.8492,1470119
49,2016-01-26 10:00:00,CVX,56.6707,57.794,56.6707,57.5597,1916760
50,2016-01-26 09:00:00,CVX,56.3881,57.0842,56.0642,56.6845,1457418
51,2016-01-26 08:00:00,CVX,56.3743,56.4088,55.7472,56.3399,32392
52,2016-01-26 07:00:00,CVX,56.4501,56.4777,56.1331,56.1331,3918
53,2016-01-26 06:00:00,CVX,56.2365,56.2365,56.2365,56.2365,100
54,2016-01-26 04:00:00,CVX,55.1545,55.1545,55.1545,55.1545,300
55,2016-01-25 19:00:00,CVX,55.7334,55.7885,55.7127,55.7127,5450
56,2016-01-25 18:00:00,CVX,55.823,55.823,55.823,55.823,700
57,2016-01-25 17:00:00,CVX,55.8506,55.8506,55.7472,55.823,6200
58,2016-01-25 16:00:00,CVX,55.7058,55.8712,55.6852,55.7541,1256391
59,2016-01-25 15:00:00,CVX,56.5459,56.6776,55.6852,55.7541,2310965
60,2016-01-25 14:00:00,CVX,56.6845,56.7051,56.4019,56.5397,1033824
61,2016-01-25 13:00:00,CVX,56.8361,57.0773,56.5535,56.6913,913479
62,2016-01-25 12:00:00,CVX,56.7672,57.0704,56.5466,56.8223,993231
63,2016-01-25 11:00:00,CVX,57.2703,57.3047,56.7396,56.7396,1063054
64,2016-01-25 10:00:00,CVX,57.5804,58.0904,57.1807,57.284,1806413
65,2016-01-25 09:00:00,CVX,56.5053,57.6838,56.395,57.5873,1307962
66,2016-01-25 08:00:00,CVX,56.9119,56.9877,56.1676,56.1676,4680
67,2016-01-22 19:00:00,CVX,57.477,57.477,57.477,57.477,100
68,2016-01-22 17:00:00,CVX,57.477,57.477,57.4081,57.477,1900
69,2016-01-22 16:00:00,CVX,57.5735,57.5735,56.6224,57.477,1141382
70,2016-01-22 15:00:00,CVX,57.4081,57.6493,57.1186,57.5735,2176004
71,2016-01-22 14:00:00,CVX,57.2427,57.4357,57.0359,57.4081,1262553
72,2016-01-22 13:00:00,CVX,57.0222,57.384,56.8361,57.2392,848964
73,2016-01-22 12:00:00,CVX,56.4639,57.0359,56.4639,57.0359,1190096
74,2016-01-22 11:00:00,CVX,56.8568,56.9946,56.3192,56.4708,1806846
75,2016-01-22 10:00:00,CVX,57.7458,57.9174,56.7189,56.8636,2952316
76,2016-01-22 09:00:00,CVX,57.5115,58.7106,57.3667,57.7492,2703897
77,2016-01-22 08:00:00,CVX,57.3598,57.6838,57.2427,57.4425,16681
78,2016-01-22 07:00:00,CVX,57.3736,57.5459,57.2427,57.4839,9050
79,2016-01-22 06:00:00,CVX,57.1049,57.1049,57.1049,57.1049,100
