0,1,2,3,4,5,6,7,8,9,10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.789601e-30,0.9985826,2.67486e-26,7.1061603e-13,2.7413555e-18,4.1454198e-10,3.1536788e-19,0.0014174032,1.0830675e-21,4.7001304e-20,1.844507e-26
6.602826e-30,0.9990324,1.9996062e-26,4.786017e-13,1.9243972e-18,2.807619e-10,2.172291e-19,0.0009676698,7.233084e-22,3.2469544e-20,1.3526917e-26
7.4787155e-30,0.9990381,2.1897007e-26,4.710442e-13,1.9785548e-18,2.7997313e-10,2.1895915e-19,0.0009619339,7.080761e-22,3.271266e-20,1.4549763e-26
8.8118036e-30,0.99904484,2.3992508e-26,4.64722e-13,2.0424026e-18,2.8177288e-10,2.2116e-19,0.0009551757,6.950293e-22,3.3023325e-20,1.5819832e-26
1.06165045e-29,0.9990527,2.634861e-26,4.59117e-13,2.1100031e-18,2.8608144e-10,2.2327163e-19,0.0009473451,6.828877e-22,3.337133e-20,1.736515e-26
1.3383946e-29,0.99906284,2.8813668e-26,4.5336266e-13,2.1791058e-18,2.9081354e-10,2.2500618e-19,0.0009371682,6.710979e-22,3.3667295e-20,1.9067497e-26
1.7306962e-29,0.99907374,3.1501194e-26,4.4764664e-13,2.2547788e-18,2.9697933e-10,2.2663156e-19,0.00092627766,6.6019176e-22,3.4077263e-20,2.0993287e-26
2.2411145e-29,0.9990852,3.4277547e-26,4.422846e-13,2.3305634e-18,3.0322514e-10,2.2786254e-19,0.00091481936,6.4864617e-22,3.4489212e-20,2.3219196e-26
2.905814e-29,0.9990978,3.7138342e-26,4.3740424e-13,2.4065927e-18,3.0965464e-10,2.2831785e-19,0.000902233,6.3752694e-22,3.487358e-20,2.5601237e-26
3.884439e-29,0.9991103,4.0750585e-26,4.3360527e-13,2.4858889e-18,3.1556244e-10,2.285377e-19,0.0008896602,6.283887e-22,3.5283082e-20,2.850781e-26
1.0352939e-25,0.9970476,2.6440713e-23,2.1639107e-11,5.833836e-16,2.7788052e-09,6.507317e-17,0.0029524516,2.7919346e-19,1.5202732e-18,2.5460205e-23
1.2956958e-25,0.99708277,2.9703185e-23,2.1877755e-11,6.2481115e-16,2.735205e-09,6.7567434e-17,0.002917256,2.782825e-19,1.5495143e-18,2.8619697e-23
1.5423331e-25,0.9970912,3.4825533e-23,2.2869186e-11,7.1229817e-16,2.6866451e-09,7.6259395e-17,0.0029088017,2.907613e-19,1.6527511e-18,3.321529e-23
1.726875e-25,0.9970788,4.0765173e-23,2.4468762e-11,8.4025573e-16,2.5571854e-09,8.933048e-17,0.0029212644,3.0549473e-19,1.8033398e-18,3.815331e-23
1.8658973e-25,0.9970197,4.8672128e-23,2.7987137e-11,1.0503266e-15,2.3812912e-09,1.1434458e-16,0.0029802958,3.254239e-19,2.1018171e-18,4.4767938e-23
1.8533814e-25,0.996912,6.011941e-23,3.349426e-11,1.4263283e-15,2.155866e-09,1.6321328e-16,0.0030879327,3.6325226e-19,2.5883156e-18,5.440003e-23
1.7082709e-25,0.99675,7.4438165e-23,4.1562555e-11,2.0364866e-15,1.9528508e-09,2.505245e-16,0.0032500236,4.216765e-19,3.3348595e-18,6.7252096e-23
1.5495133e-25,0.99654573,9.4957686e-23,5.4078145e-11,3.0439122e-15,1.7415742e-09,4.1448657e-16,0.003454308,5.00494e-19,4.4844e-18,8.5508426e-23
1.3153282e-25,0.996289,1.2147704e-22,7.28241e-11,4.7289934e-15,1.5281205e-09,7.2203465e-16,0.003710946,6.0885105e-19,6.1984705e-18,1.0880245e-22
1.0646401e-25,0.9959882,1.541764e-22,9.945328e-11,7.471772e-15,1.3330479e-09,1.2845801e-15,0.0040118136,7.5816356e-19,8.6303095e-18,1.3706144e-22
1.8788007e-23,0.9900851,1.9094826e-20,2.820617e-09,5.991827e-13,9.915098e-09,1.56809e-13,0.009914938,1.1857267e-16,2.7684899e-16,2.2513029e-20
1.4614388e-23,0.9894818,2.214804e-20,3.67996e-09,8.7370074e-13,8.497971e-09,2.5470603e-13,0.010518152,1.4045029e-16,3.6135228e-16,2.6016257e-20
1.1291523e-23,0.9889831,2.4723561e-20,4.684312e-09,1.2338504e-12,7.1803683e-09,3.9557214e-13,0.011016911,1.6274744e-16,4.563442e-16,2.9010817e-20
9.19769e-24,0.98843354,2.8325734e-20,6.072835e-09,1.7685778e-12,6.0982783e-09,6.306804e-13,0.011566488,1.9115153e-16,5.8698954e-16,3.310351e-20
7.684416e-24,0.9877685,3.3954475e-20,8.114505e-09,2.6480372e-12,5.1985647e-09,1.0629878e-12,0.0122315,2.3073953e-16,7.813146e-16,3.909418e-20
6.6042185e-24,0.9869357,4.3640156e-20,1.13354455e-08,4.1568173e-12,4.5112687e-09,1.9446228e-12,0.01306424,2.8955456e-16,1.09635e-15,4.8915132e-20
5.6989363e-24,0.9859962,5.927551e-20,1.624399e-08,6.7330095e-12,3.905866e-09,3.7432696e-12,0.01400377,3.703379e-16,1.5823938e-15,6.385295e-20
4.7449258e-24,0.9850722,8.01324e-20,2.3166608e-08,1.0744502e-11,3.3449479e-09,7.110098e-12,0.0149277765,4.654732e-16,2.270129e-15,8.280801e-20
3.9786476e-24,0.98407906,1.1073861e-19,3.3304293e-08,1.7194675e-11,2.8673854e-09,1.3628959e-11,0.015920848,5.857651e-16,3.2762212e-15,1.1028583e-19
3.3460194e-24,0.9829699,1.5449338e-19,4.798771e-08,2.7940216e-11,2.4461329e-09,2.6498411e-11,0.01703011,7.4582977e-16,4.7350556e-15,1.4935391e-19
1.1932617e-24,0.9892532,4.4043516e-20,3.4298978e-08,5.604189e-12,1.1719152e-09,7.3465305e-12,0.010746715,1.2357182e-16,2.2467413e-15,3.0864845e-20
1.0488927e-24,0.9885407,6.090884e-20,4.837155e-08,8.987849e-12,9.967189e-10,1.3745934e-11,0.011459303,1.5640925e-16,3.159664e-15,4.170897e-20
9.898494e-25,0.9876738,8.700327e-20,6.905579e-08,1.4675795e-11,8.442925e-10,2.6172915e-11,0.012326064,1.9983084e-16,4.463326e-15,5.839787e-20
9.633173e-25,0.9867495,1.2377389e-19,9.7458056e-08,2.3710612e-11,7.1028666e-10,4.853488e-11,0.013250373,2.532462e-16,6.1887188e-15,8.170475e-20
9.831255e-25,0.98567224,1.7927952e-19,1.3945727e-07,3.857264e-11,6.044627e-10,9.133997e-11,0.014327598,3.2503897e-16,8.6900405e-15,1.1690487e-19
1.0761196e-24,0.9843406,2.8142145e-19,2.070885e-07,6.656259e-11,5.1513954e-10,1.8624621e-10,0.015659176,4.3863186e-16,1.2772868e-14,1.8033555e-19
