year,risk_factors
2018,"Competition in the technology sector 
Competition among platform-based ecosystems 
Business model competition 
Business model competition 
We may not be able to adequately protect our intellectual property rights 
We may not receive expected royalties from our patent licenses 
We may not receive expected royalties from our 
patent licenses 
Security of our information technology 
Security of our products, services, devices, and customers’ data "
2019,"Competition in the technology sector
Competition among platform-based ecosystems
Business model competition 
Business model competition 
Security of our information technology 
Security of our products, services, devices, and customers’ data
Advertising, professional, and social platform abuses 
Harmful content online   
Harmful 
content online
  "
2020,"Competition in the technology sector
Competition among platform-based ecosystems
Business model competition 
Business model competition 
Security of our information technology 
Security of our products, services, devices, and customers’ data
Advertising, professional, and social platform abuses 
Digital safety and service misuse
Digital safety and service misuse"
2021,"Competition in the technology sector
Competition among platform-based ecosystems
Business model competition 
Business model competition 
Security of our information technology
Security of our products, services, devices, and customers’ data
Security of our products, services, devices, and customers’ data
Development and deployment of defensive measures
Advertising, professional, and social platform abuses 
Digital safety and service misuse
Digital safety and service misuse"
2022,"Competition in the technology sector
Competition among platform-based ecosystems
Business model competition 
Business model competition 
Security of our information technology
Security of our products, services, devices, and customers’ data
Security of our products, services, devices, and customers’ data
Development and deployment of defensive measures
Advertising, professional, marketplace, and gaming platform abuses 
Other digital safety abuses
Other digital
 safety 
abuses"
2023,"Competition in the technology sector
Competition among platform-based ecosystems
Business model competition
Security of our information technology
Security of our products, services, devices, and customers’ data
Development and deployment of defensive measures
Advertising, professional, marketplace, and gaming platform abuses
Other digital safety abuses"
2024,"Competition in the technology sector
Competition among platform-based ecosystems
Business model competition
Security of our information technology
Security of our products, services, devices, and customers’ data
Development and deployment of defensive measures
Advertising, professional, marketplace, and gaming platform abuses
Other digital safety abuses"
