,date,ics,unemployment
0,2014-01-01,-0.17871811456646527,1.0223834057358838
1,2014-02-01,-0.149446305654748,1.0803652736730542
2,2014-03-01,-0.26653354130161916,1.0803652736730542
3,2014-04-01,0.03350250004348878,0.7904559339872033
4,2014-05-01,-0.12749244897095877,0.8484378019243732
5,2014-06-01,-0.08358473560338235,0.7324740660500327
6,2014-07-01,-0.13481040119888887,0.7904559339872033
7,2014-08-01,-0.08358473560338235,0.7324740660500327
8,2014-09-01,0.07009226118313613,0.6165103301756928
9,2014-10-01,0.23840516242551482,0.5005465943013522
10,2014-11-01,0.37744625475617416,0.5585284622385223
11,2014-12-01,0.7287079616967886,0.4425647263641817
12,2015-01-01,1.058015811953615,0.5005465943013522
13,2015-02-01,0.8604311017995199,0.3845828584270117
14,2015-03-01,0.6848002483292122,0.3266009904898417
15,2015-04-01,0.8970208629391673,0.3266009904898417
16,2015-05-01,0.5164873470868345,0.4425647263641817
17,2015-06-01,0.9116567673950254,0.2686191225526712
18,2015-07-01,0.6921182005571412,0.21063725461550115
19,2015-08-01,0.6043027738219884,0.15265538667833065
20,2015-09-01,0.26035901910930304,0.09467351874116063
21,2015-10-01,0.465261681491328,0.09467351874116063
22,2015-11-01,0.560395060454411,0.15265538667833065
23,2015-12-01,0.6555284394174938,0.09467351874116063
24,2016-01-01,0.6116207260499175,-0.021290217133179894
25,2016-02-01,0.5896668693661292,0.03669165080399063
26,2016-03-01,0.5384412037706228,0.09467351874116063
27,2016-04-01,0.3920821592120333,0.15265538667833065
28,2016-05-01,0.8092054362040134,-0.021290217133179894
29,2016-06-01,0.7213900094688596,0.03669165080399063
30,2016-07-01,0.465261681491328,-0.021290217133179894
31,2016-08-01,0.45062577703546886,0.03669165080399063
32,2016-09-01,0.5530771082264819,0.09467351874116063
33,2016-10-01,0.26035901910930304,0.03669165080399063
34,2016-11-01,0.7433438661526478,-0.0792720850703499
35,2016-12-01,1.065333764181545,-0.0792720850703499
36,2017-01-01,1.087287620865333,-0.0792720850703499
37,2017-02-01,0.9262926718508846,-0.1372539530075204
38,2017-03-01,0.970200385218462,-0.2532176888818604
39,2017-04-01,0.977518337446391,-0.2532176888818604
40,2017-05-01,0.9848362896743201,-0.2532176888818604
41,2017-06-01,0.8311592928878017,-0.31119955681903094
42,2017-07-01,0.7140720572409305,-0.31119955681903094
43,2017-08-01,0.9628824329905319,-0.2532176888818604
44,2017-09-01,0.8384772451157306,-0.31119955681903094
45,2017-10-01,1.2482825698797817,-0.36918142475620097
46,2017-11-01,1.087287620865333,-0.36918142475620097
47,2017-12-01,0.8970208629391673,-0.4271632926933715
48,2018-01-01,0.8823849584833081,-0.48514516063054147
49,2018-02-01,1.175103047600487,-0.4271632926933715
50,2018-03-01,1.2995082354752883,-0.48514516063054147
51,2018-04-01,1.1092414775491213,-0.48514516063054147
52,2018-05-01,1.0506978597256857,-0.601108896504882
53,2018-06-01,1.065333764181545,-0.48514516063054147
54,2018-07-01,1.0433799074977568,-0.601108896504882
55,2018-08-01,0.9189747196229555,-0.601108896504882
56,2018-09-01,1.2043748565122043,-0.6590907644420521
57,2018-10-01,1.0946055730932622,-0.601108896504882
58,2018-11-01,1.0141080985860385,-0.601108896504882
59,2018-12-01,1.072651716409474,-0.5431270285677118
60,2019-01-01,0.5530771082264819,-0.48514516063054147
61,2019-02-01,0.7433438661526478,-0.601108896504882
62,2019-03-01,1.079969668637404,-0.601108896504882
63,2019-04-01,0.9921542419022502,-0.6590907644420521
64,2019-05-01,1.1970569042842751,-0.7170726323792223
65,2019-06-01,1.065333764181545,-0.7170726323792223
66,2019-07-01,1.079969668637404,-0.6590907644420521
67,2019-08-01,0.45062577703546886,-0.7170726323792223
68,2019-09-01,0.6994361527850713,-0.7750545003163926
69,2019-10-01,0.867749054027449,-0.7170726323792223
70,2019-11-01,0.9628824329905319,-0.7170726323792223
71,2019-12-01,1.1458312386887688,-0.7170726323792223
72,2020-01-01,1.182420999828416,-0.7170726323792223
73,2020-02-01,1.27023642656357,-0.7750545003163926
74,2020-03-01,0.39940011143996235,-0.2532176888818604
75,2020-04-01,-0.866605623991836,5.776896576583843
76,2020-05-01,-0.8300158628521886,4.849186689589118
77,2020-06-01,-0.4055746336322795,3.5735855949713735
78,2020-07-01,-0.8153799583963295,3.109730651474011
79,2020-08-01,-0.6982927227494584,2.066057028604948
80,2020-09-01,-0.23726173238990084,1.7181658209819264
81,2020-10-01,-0.13481040119888887,1.1383471416102244
82,2020-11-01,-0.4933900603674324,1.0803652736730542
83,2020-12-01,-0.21530787570611262,1.0803652736730542
84,2021-01-01,-0.33971306358091385,0.9064196698615438
85,2021-02-01,-0.5007080125953625,0.7904559339872033
86,2021-03-01,0.09204611786692539,0.7324740660500327
87,2021-04-01,0.3408564936165268,0.7324740660500327
88,2021-05-01,-0.05431292669166405,0.5585284622385223
89,2021-06-01,0.1359538312345018,0.6165103301756928
90,2021-07-01,-0.17871811456646527,0.3266009904898417
91,2021-08-01,-0.9763749074107781,0.15265538667833065
92,2021-09-01,-0.7934261017125414,-0.0792720850703499
93,2021-10-01,-0.8739235762197651,-0.1952358209446904
94,2021-11-01,-1.1885955220207323,-0.4271632926933715
95,2021-12-01,-0.9544210507269899,-0.5431270285677118
96,2022-01-01,-1.2032314264765913,-0.48514516063054147
97,2022-02-01,-1.5252213245054884,-0.601108896504882
98,2022-03-01,-1.7740317002550905,-0.7170726323792223
99,2022-04-01,-1.3495904710351807,-0.6590907644420521
100,2022-05-01,-1.847211222534385,-0.7170726323792223
