stock_name,date,open,high,low,close,volume
PG,2014-01-31 19:00:00,56.8145,56.8145,56.8145,56.8145,100
PG,2014-01-31 17:00:00,56.8294,56.8294,56.7849,56.7849,600
PG,2014-01-31 16:00:00,56.7775,56.7775,56.7478,56.7701,1082671
PG,2014-01-31 15:00:00,57.0591,57.0591,56.7182,56.7627,2269640
PG,2014-01-31 14:00:00,57.1461,57.2006,57.0443,57.059,1227816
PG,2014-01-31 13:00:00,56.9316,57.1554,56.8812,57.148,1008309
PG,2014-01-31 12:00:00,57.0072,57.0739,56.8961,56.933,1041438
PG,2014-01-31 11:00:00,56.57,57.0146,56.4811,57.0072,1255419
PG,2014-01-31 10:00:00,56.281,56.6659,56.2439,56.5648,1853072
PG,2014-01-31 09:00:00,56.4663,56.5255,55.7697,56.281,2060703
PG,2014-01-31 08:00:00,56.6145,56.6145,56.3329,56.4663,1537
PG,2014-01-31 07:00:00,56.4144,56.5404,56.4144,56.4737,5700
PG,2014-01-31 06:00:00,56.5255,56.5255,56.5255,56.5255,600
PG,2014-01-31 05:00:00,56.733,56.733,56.733,56.733,700
PG,2014-01-30 19:00:00,56.9331,56.9331,56.9331,56.9331,712
PG,2014-01-30 18:00:00,56.9331,57.0665,56.9331,56.9627,3050
PG,2014-01-30 17:00:00,56.9627,56.9627,56.9627,56.9627,100
PG,2014-01-30 16:00:00,56.8961,56.9627,56.7849,56.9109,592686
PG,2014-01-30 15:00:00,57.0665,57.1554,56.8886,56.9553,1952979
PG,2014-01-30 14:00:00,57.1332,57.1369,57.0517,57.0665,804483
PG,2014-01-30 13:00:00,57.2221,57.2592,57.1072,57.1386,656712
PG,2014-01-30 12:00:00,57.2295,57.3036,57.148,57.2221,869585
PG,2014-01-30 11:00:00,57.1184,57.3407,56.9924,57.2295,1290597
PG,2014-01-30 10:00:00,57.1851,57.2443,56.985,57.1257,1382799
PG,2014-01-30 09:00:00,57.8372,58.0076,57.1035,57.1702,1206639
PG,2014-01-30 08:00:00,57.7927,57.8372,57.7779,57.8372,2330
PG,2014-01-30 07:00:00,57.5333,57.6593,57.5333,57.6519,1600
PG,2014-01-30 05:00:00,57.3258,57.4222,57.3258,57.4222,350
PG,2014-01-30 04:00:00,57.4222,57.4222,57.4222,57.4222,1100
PG,2014-01-29 17:00:00,57.5556,57.5556,57.5556,57.5556,427
PG,2014-01-29 16:00:00,57.5333,57.7334,57.5333,57.7334,558239
PG,2014-01-29 15:00:00,57.4303,57.6371,57.4222,57.5407,3321093
PG,2014-01-29 14:00:00,57.4518,57.6482,57.3407,57.4296,2237254
PG,2014-01-29 13:00:00,57.4963,57.5926,57.437,57.4377,736486
PG,2014-01-29 12:00:00,57.5037,57.5852,57.4296,57.5037,853436
PG,2014-01-29 11:00:00,57.5852,57.7334,57.437,57.5015,1279607
PG,2014-01-29 10:00:00,57.5556,57.9187,57.5482,57.5778,1189693
PG,2014-01-29 09:00:00,58.3188,58.4152,57.4222,57.5556,2151875
PG,2014-01-29 08:00:00,58.4967,58.4967,58.3559,58.3929,2800
PG,2014-01-28 19:00:00,58.7634,58.7634,58.6819,58.7634,900
PG,2014-01-28 18:00:00,58.9413,58.9413,58.9413,58.9413,175
PG,2014-01-28 17:00:00,58.6967,58.6967,58.6967,58.6967,100
PG,2014-01-28 16:00:00,58.6226,58.6226,58.556,58.556,950888
PG,2014-01-28 15:00:00,58.756,58.7857,58.6226,58.6226,1915143
PG,2014-01-28 14:00:00,58.6967,58.8598,58.6893,58.7597,835714
PG,2014-01-28 13:00:00,58.7116,58.9265,58.6893,58.7042,992434
PG,2014-01-28 12:00:00,58.2595,58.7634,58.2447,58.7116,1227579
PG,2014-01-28 11:00:00,58.3707,58.43,58.1484,58.2595,1397425
PG,2014-01-28 10:00:00,58.2447,58.4077,58.2299,58.3707,1077343
PG,2014-01-28 09:00:00,58.3633,58.467,58.1187,58.2447,919236
PG,2014-01-28 08:00:00,58.2818,58.4226,58.2818,58.4226,441
PG,2014-01-27 19:00:00,58.1706,58.2818,58.1706,58.2818,600
PG,2014-01-27 17:00:00,58.0965,58.0965,58.0965,58.0965,175
PG,2014-01-27 16:00:00,58.1484,58.2373,58.1262,58.1336,766528
PG,2014-01-27 15:00:00,58.4967,58.5078,58.1484,58.1558,1896893
PG,2014-01-27 14:00:00,58.4374,58.6078,58.4077,58.5033,1002269
PG,2014-01-27 13:00:00,58.3485,58.5337,58.3336,58.4226,856726
PG,2014-01-27 12:00:00,58.3114,58.4448,58.2447,58.3485,1015386
PG,2014-01-27 11:00:00,58.3929,58.493,58.1854,58.304,1398640
PG,2014-01-27 10:00:00,58.4522,58.5263,58.1113,58.3929,1459515
PG,2014-01-27 09:00:00,58.7864,58.8672,58.3781,58.466,962353
PG,2014-01-27 08:00:00,58.9191,58.9191,58.7857,58.7864,3172
PG,2014-01-27 07:00:00,58.7857,58.7857,58.7857,58.7857,220
PG,2014-01-27 04:00:00,58.9413,58.9413,58.9413,58.9413,400
PG,2014-01-24 17:00:00,58.6967,58.6975,58.6967,58.6967,687
PG,2014-01-24 16:00:00,58.6967,60.5363,58.6745,58.6967,1541412
PG,2014-01-24 15:00:00,59.3859,59.3933,58.6523,58.6967,3267185
PG,2014-01-24 14:00:00,59.3785,59.4748,59.1562,59.3858,1408380
PG,2014-01-24 13:00:00,59.4378,59.6527,59.2896,59.3826,1292430
PG,2014-01-24 12:00:00,60.001,60.0306,59.2599,59.4415,2062495
PG,2014-01-24 11:00:00,59.9565,60.2603,59.7416,60.0028,1970012
PG,2014-01-24 10:00:00,60.2677,60.5419,59.9194,59.9639,3036987
PG,2014-01-24 09:00:00,58.2447,60.3937,58.2447,60.2677,3990629
PG,2014-01-24 08:00:00,57.9854,58.7634,57.9854,58.3855,22512
PG,2014-01-24 07:00:00,58.0076,58.1706,57.8001,58.1706,1800
PG,2014-01-24 06:00:00,58.0595,58.0595,57.9261,57.9261,500
PG,2014-01-24 05:00:00,58.0595,58.0595,58.0595,58.0595,200
PG,2014-01-23 19:00:00,58.1706,58.1706,58.1706,58.1706,1409
PG,2014-01-23 18:00:00,58.3559,58.3559,58.1706,58.1706,4800
PG,2014-01-23 17:00:00,58.2825,58.5263,58.2825,58.3559,2770
PG,2014-01-23 16:00:00,58.0372,58.4522,57.978,58.3188,498719
PG,2014-01-23 15:00:00,58.0669,58.0891,57.889,58.0595,2826029
PG,2014-01-23 14:00:00,58.0224,58.1039,57.9854,58.0743,1238539
PG,2014-01-23 13:00:00,58.1225,58.1395,57.9409,58.0224,1362758
PG,2014-01-23 12:00:00,58.1187,58.1558,58.0002,58.1187,998766
PG,2014-01-23 11:00:00,58.1558,58.2521,57.9928,58.1187,1066300
PG,2014-01-23 10:00:00,58.0002,58.2744,58.0002,58.1506,1563014
PG,2014-01-23 09:00:00,58.556,58.5634,57.9113,58.0074,1743017
PG,2014-01-23 08:00:00,58.6893,58.7264,58.556,58.556,15537
PG,2014-01-23 07:00:00,58.6671,58.7264,58.6671,58.7264,300
PG,2014-01-23 06:00:00,58.6226,58.6226,58.6226,58.6226,100
PG,2014-01-23 04:00:00,58.845,58.845,58.845,58.845,179
PG,2014-01-22 16:00:00,58.7116,58.7116,58.7116,58.7116,632745
PG,2014-01-22 15:00:00,58.8524,58.882,58.719,58.719,1758641
PG,2014-01-22 14:00:00,58.7709,58.8672,58.756,58.8523,701351
PG,2014-01-22 13:00:00,58.882,58.9265,58.7264,58.7634,570439
PG,2014-01-22 12:00:00,58.7538,58.882,58.7264,58.882,600830
PG,2014-01-22 11:00:00,58.6967,58.8598,58.5782,58.7486,1019574
PG,2014-01-22 10:00:00,58.9561,59.045,58.6893,58.6967,1339185
PG,2014-01-22 09:00:00,59.0599,59.1932,58.8672,58.9487,850871
PG,2014-01-22 08:00:00,59.1117,59.134,58.9932,59.0747,5325
PG,2014-01-21 19:00:00,59.0488,59.0488,59.0488,59.0488,500
PG,2014-01-21 17:00:00,59.0414,59.0488,59.0414,59.0488,800
PG,2014-01-21 16:00:00,58.9679,58.9973,58.8392,58.9679,4167886
PG,2014-01-21 15:00:00,58.9679,59.001,58.9017,58.9532,1434381
PG,2014-01-21 14:00:00,58.9531,58.9973,58.8576,58.9679,581344
PG,2014-01-21 13:00:00,58.8833,59.0488,58.8649,58.9495,736701
PG,2014-01-21 12:00:00,58.6038,58.8943,58.5929,58.8833,860123
PG,2014-01-21 11:00:00,58.8796,58.887,58.4972,58.6075,1168622
PG,2014-01-21 10:00:00,58.9311,58.9752,58.7252,58.8759,1283273
PG,2014-01-21 09:00:00,59.2179,59.365,58.887,58.9385,1142609
PG,2014-01-21 08:00:00,59.1812,59.2694,59.1738,59.2032,3350
PG,2014-01-21 07:00:00,59.3871,59.3871,59.0046,59.2768,2934
PG,2014-01-21 06:00:00,59.3871,59.3871,59.3871,59.3871,700
PG,2014-01-21 05:00:00,59.2694,59.2768,59.2694,59.2768,600
PG,2014-01-17 19:00:00,58.784,58.784,58.7839,58.7839,630
PG,2014-01-17 17:00:00,58.7325,58.7325,58.7325,58.7325,143
PG,2014-01-17 16:00:00,58.7472,58.8672,58.7325,58.7472,2806994
PG,2014-01-17 15:00:00,58.784,58.8134,58.6884,58.7436,2300109
PG,2014-01-17 14:00:00,58.8061,58.9311,58.7325,58.7767,950133
PG,2014-01-17 13:00:00,58.9237,58.9532,58.7325,58.8061,958345
PG,2014-01-17 12:00:00,58.9237,58.9973,58.8355,58.9201,464941
PG,2014-01-17 11:00:00,58.8428,59.0194,58.8206,58.9164,1036939
PG,2014-01-17 10:00:00,58.9017,58.9752,58.8208,58.8465,1086029
PG,2014-01-17 09:00:00,59.1812,59.3062,58.7252,58.9054,2535064
PG,2014-01-17 08:00:00,59.3356,59.3503,59.3209,59.3503,1700
PG,2014-01-17 07:00:00,59.3503,59.3503,59.3503,59.3503,300
PG,2014-01-16 19:00:00,59.1885,59.1885,59.1885,59.1885,181
PG,2014-01-16 18:00:00,59.1591,59.1591,59.1591,59.1591,281
PG,2014-01-16 17:00:00,59.1591,59.1591,59.1591,59.1591,450
PG,2014-01-16 16:00:00,59.2179,59.4165,59.1297,59.1812,3305870
PG,2014-01-16 15:00:00,59.2694,59.2768,59.0929,59.2106,2306676
PG,2014-01-16 14:00:00,59.3209,59.3577,59.24,59.2694,512867
PG,2014-01-16 13:00:00,59.4386,59.4386,59.2106,59.3135,614199
PG,2014-01-16 12:00:00,59.3724,59.4459,59.2915,59.4385,738907
PG,2014-01-16 11:00:00,59.1848,59.3908,59.1664,59.3753,792016
PG,2014-01-16 10:00:00,59.262,59.3797,59.1738,59.1848,1050002
PG,2014-01-16 09:00:00,59.4974,59.4974,59.0267,59.2687,957040
PG,2014-01-16 08:00:00,59.4974,59.4974,59.4974,59.4974,321
PG,2014-01-16 07:00:00,59.4753,59.4974,59.4753,59.4974,1600
PG,2014-01-15 16:00:00,59.4165,59.4165,59.4165,59.4165,653355
PG,2014-01-15 15:00:00,59.3797,59.4459,59.2032,59.4091,1473844
PG,2014-01-15 14:00:00,59.4091,59.4091,59.2768,59.3871,775447
PG,2014-01-15 13:00:00,59.6665,59.6996,59.4018,59.4018,829199
PG,2014-01-15 12:00:00,59.5562,59.6813,59.5342,59.6665,655795
PG,2014-01-15 11:00:00,59.4974,59.6665,59.4459,59.5489,836199
PG,2014-01-15 10:00:00,59.0855,59.5047,59.0782,59.5011,961289
PG,2014-01-15 09:00:00,59.4165,59.5195,59.0194,59.0855,809322
PG,2014-01-15 08:00:00,59.4459,59.4459,59.4459,59.4459,200
PG,2014-01-15 07:00:00,59.4459,59.4459,59.4459,59.4459,100
PG,2014-01-15 06:00:00,59.3871,59.4606,59.3871,59.4606,800
PG,2014-01-15 05:00:00,59.5562,59.5562,59.5562,59.5562,600
PG,2014-01-14 17:00:00,59.4753,59.4753,59.4753,59.4753,243
PG,2014-01-14 16:00:00,59.4753,59.4753,59.4753,59.4753,739522
PG,2014-01-14 15:00:00,59.4128,59.4827,59.3282,59.468,1623926
PG,2014-01-14 14:00:00,59.3429,59.5121,59.2955,59.4091,954327
PG,2014-01-14 13:00:00,59.2106,59.3944,59.1959,59.3429,620354
PG,2014-01-14 12:00:00,59.2768,59.3209,59.1517,59.2032,808782
PG,2014-01-14 11:00:00,59.1885,59.3429,59.1444,59.2767,729149
PG,2014-01-14 10:00:00,59.1297,59.1959,59.0414,59.1885,861650
PG,2014-01-14 09:00:00,59.115,59.1664,58.8502,59.1223,904802
PG,2014-01-14 08:00:00,59.1223,59.137,59.0929,59.137,495
PG,2014-01-14 07:00:00,59.0929,59.1591,59.0929,59.1591,1200
PG,2014-01-14 06:00:00,59.1297,59.1297,59.1297,59.1297,100
PG,2014-01-14 05:00:00,59.0929,59.0929,59.0561,59.0561,700
PG,2014-01-14 04:00:00,59.1003,59.1003,59.0929,59.0929,700
PG,2014-01-13 19:00:00,58.9752,58.9752,58.9752,58.9752,105
PG,2014-01-13 17:00:00,58.8428,58.8428,58.8428,58.8428,120000
PG,2014-01-13 16:00:00,58.8428,59.2032,58.8428,59.0561,592924
PG,2014-01-13 15:00:00,58.9458,58.9605,58.7693,58.8355,1979101
PG,2014-01-13 14:00:00,59.0046,59.012,58.887,58.9458,877146
PG,2014-01-13 13:00:00,58.8723,59.012,58.7472,58.9973,848449
PG,2014-01-13 12:00:00,59.115,59.1444,58.8649,58.8723,785089
PG,2014-01-13 11:00:00,59.0488,59.1959,58.9899,59.1076,825472
PG,2014-01-13 10:00:00,59.0399,59.2032,58.9311,59.0451,1115281
PG,2014-01-13 09:00:00,58.9752,59.0561,58.6075,59.0413,1661778
PG,2014-01-13 08:00:00,59.0341,59.0341,59.0341,59.0341,340
PG,2014-01-13 07:00:00,58.9826,58.9826,58.9826,58.9826,900
PG,2014-01-13 06:00:00,58.9458,58.9826,58.9458,58.9826,1700
PG,2014-01-13 05:00:00,59.0708,59.0708,58.9458,58.9458,440
PG,2014-01-13 04:00:00,59.0708,59.0708,59.0708,59.0708,400
PG,2014-01-10 17:00:00,59.0708,59.0929,59.0708,59.0929,270
PG,2014-01-10 16:00:00,59.0488,59.0561,59.0488,59.0561,563469
PG,2014-01-10 15:00:00,59.0341,59.137,58.9973,59.0488,1685842
PG,2014-01-10 14:00:00,59.0929,59.1297,59.0194,59.0267,784165
PG,2014-01-10 13:00:00,59.159,59.2032,59.0708,59.0929,510811
PG,2014-01-10 12:00:00,59.137,59.2584,59.0929,59.1554,724230
PG,2014-01-10 11:00:00,59.0929,59.2106,59.0194,59.137,828654
PG,2014-01-10 10:00:00,59.2693,59.2693,58.9826,59.0929,1072161
