ticker,calendardate,roe,pe,pb,ps,divyield,evebitda,payoutratio,retention_rate,pvgo
CVS,2015-12-31,0.141,20.673,2.911,0.706,0.014,11.477,0.3,0.7,10.672999999999998
CVS,2014-12-31,0.122,23.774,2.909,0.792,0.011,11.984,0.276,0.724,13.774000000000001
CVS,2013-12-31,0.12,18.551,2.245,0.672,0.013,9.484,0.239,0.761,8.550999999999998
CVS,2012-12-31,0.103,15.6,1.601,0.49,0.013,8.024,0.214,0.786,5.6
CVS,2011-12-31,0.091,15.332,1.395,0.496,0.012,7.894,0.193,0.8069999999999999,5.332000000000001
AAPL,2018-12-31,0.487,18.315,10.176,4.105,0.012,13.996,0.226,0.774,8.315000000000001
AAPL,2017-12-31,0.363,16.464,5.939,3.473,0.016,11.931,0.259,0.741,6.463999999999999
AAPL,2016-12-31,0.356,13.293,4.736,2.816,0.019,9.378,0.261,0.739,3.2929999999999993
AAPL,2015-12-31,0.429,12.252,5.481,2.799,0.017,8.276,0.213,0.787,2.2520000000000007
AAPL,2014-12-31,0.328,15.269,5.408,3.3,0.018,10.115,0.279,0.721,5.269
AAPL,2013-12-31,0.291,11.842,3.55,2.566,0.024,7.807,0.285,0.7150000000000001,1.8420000000000005
AAPL,2012-12-31,0.395,14.985,5.29,3.996,0.004,10.457,0.059,0.9410000000000001,4.984999999999999
AAPL,2011-12-31,0.396,14.46,4.892,3.463,0.0,10.071,0.0,1.0,4.460000000000001
