symbol_year_month
AAPL_2014-01
AAPL_2014-02
AAPL_2014-03
AAPL_2014-04
AAPL_2014-05
AAPL_2014-06
AAPL_2014-07
AAPL_2014-08
AAPL_2014-09
AAPL_2014-10
AAPL_2014-11
AAPL_2014-12
AAPL_2015-01
AAPL_2015-02
AAPL_2015-03
AAPL_2015-04
AAPL_2015-05
AAPL_2015-06
AAPL_2015-07
AAPL_2015-08
AAPL_2015-09
AAPL_2015-10
AAPL_2015-11
AAPL_2015-12
AAPL_2016-01
AAPL_2016-02
AAPL_2016-03
AAPL_2016-04
AAPL_2016-05
AAPL_2016-06
AAPL_2016-07
AAPL_2016-08
AAPL_2016-09
AAPL_2016-10
AAPL_2016-11
AAPL_2016-12
AAPL_2017-01
AAPL_2017-02
AAPL_2017-03
AAPL_2017-04
AAPL_2017-05
AAPL_2017-06
AAPL_2017-07
AAPL_2017-08
AAPL_2017-09
AAPL_2017-10
AAPL_2017-11
AAPL_2017-12
AAPL_2018-01
AAPL_2018-02
AAPL_2018-03
AAPL_2018-04
AAPL_2018-05
AAPL_2018-06
AAPL_2018-07
AAPL_2018-08
AAPL_2018-09
AAPL_2018-10
AAPL_2018-11
AAPL_2018-12
AAPL_2019-01
AAPL_2019-02
AAPL_2019-03
AAPL_2019-04
AAPL_2019-05
AAPL_2019-06
AAPL_2019-07
AAPL_2019-08
AAPL_2019-09
AAPL_2019-10
AAPL_2019-11
AAPL_2019-12
AAPL_2020-01
AAPL_2020-02
AAPL_2020-03
AAPL_2020-04
AAPL_2020-05
AAPL_2020-06
AAPL_2020-07
AAPL_2020-08
AAPL_2020-09
AAPL_2020-10
AAPL_2020-11
AAPL_2020-12
AAPL_2021-01
AAPL_2021-02
AAPL_2021-03
AAPL_2021-04
AAPL_2021-05
AAPL_2021-06
AAPL_2021-07
AAPL_2021-08
AAPL_2021-09
AAPL_2021-10
AAPL_2021-11
AAPL_2021-12
AAPL_2022-01
AAPL_2022-02
AAPL_2022-03
AAPL_2022-04
AAPL_2022-05
AAPL_2022-06
AAPL_2022-07
AAPL_2022-08
AAPL_2022-09
AAPL_2022-10
AAPL_2022-11
AAPL_2022-12
AAPL_2023-01
AAPL_2023-02
AAPL_2023-03
AAPL_2023-04
AAPL_2023-05
AAPL_2023-06
AAPL_2023-07
AAPL_2023-08
AAPL_2023-09
AAPL_2023-10
AAPL_2023-11
AAPL_2023-12
PG_2014-01
PG_2014-02
PG_2014-03
PG_2014-04
PG_2014-05
PG_2014-06
PG_2014-07
PG_2014-08
PG_2014-09
PG_2014-10
PG_2014-11
PG_2014-12
PG_2015-01
PG_2015-02
PG_2015-03
PG_2015-04
PG_2015-05
PG_2015-06
PG_2015-07
PG_2015-08
PG_2015-09
PG_2015-10
PG_2015-11
PG_2015-12
PG_2016-01
PG_2016-02
PG_2016-03
PG_2016-04
PG_2016-05
PG_2016-06
PG_2016-07
PG_2016-08
PG_2016-09
PG_2016-10
PG_2016-11
PG_2016-12
