TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative
100,3,5,5,0.01,2375308.5,-0.3851593133747054,1.3327097218291326,23.753085,112210.78,-0.2975570557145943,0.3888864786553308,1.1221078125
100,3,5,5,0.02,362985.7,-0.35065068497297713,0.8340582063665855,3.629856875,117217.055,-0.15930216334342479,0.6455060265435024,1.172170546875
100,3,5,10,0.01,959160.44,-0.4152744975344632,1.0078593319510458,9.591604375,112944.76,-0.31412126810674307,0.40732275429446624,1.129447578125
100,3,5,10,0.02,367543.88,-0.3531641426760505,0.8347004028795432,3.67543875,117414.39,-0.1610429747131843,0.64608744824981,1.17414390625
100,3,5,20,0.01,1214352.2,-0.43796515809688413,1.0888148061368568,12.1435225,90932.94,-0.3713311360720404,-0.048413195569635546,0.909329375
100,3,5,20,0.02,367787.1,-0.3532092013586375,0.8347805029024573,3.6778709375,117426.32,-0.16108395201200137,0.646285689313341,1.174263203125
100,3,10,5,0.01,1962555.0,-0.38515924979246213,1.2407292017754878,19.62555,176888.12,-0.2050859002795757,1.28885116053874,1.76888125
100,3,10,5,0.02,1494036.9,-0.3851591785030645,1.184092929860934,14.94036875,203114.47,-0.17215996987370727,1.6627876959120502,2.0311446875
100,3,10,10,0.01,1365469.9,-0.37939967150589193,1.1166885810532765,13.65469875,105798.2,-0.3425472513458669,0.2681432365855444,1.05798203125
100,3,10,10,0.02,394802.75,-0.43797202388448603,0.7684920870456177,3.9480275,93468.234,-0.3713289286953008,0.011286082866655464,0.93468234375
100,3,10,20,0.01,1099371.6,-0.2803922691041064,1.0721518219492552,10.99371625,96991.22,-0.32502394503763316,0.08564103777130576,0.9699121875
100,3,10,20,0.02,941629.3,-0.4379718905031318,0.9935043195601669,9.416293125,223114.72,-0.19489174308952137,2.040466460346367,2.2311471875
100,3,20,5,0.01,1179744.6,-0.4379695781669648,1.068136141926524,11.79744625,96608.89,-0.3715018459544007,0.07987933128433676,0.96608890625
100,3,20,5,0.02,661115.2,-0.43797167923332514,0.821038684928493,6.611151875,207336.67,-0.25566542160946903,1.63427111939615,2.07336671875
100,3,20,10,0.01,1178744.8,-0.4379703631186754,1.079472354785671,11.7874475,96459.27,-0.37143196866979944,0.07661076711279204,0.964592734375
100,3,20,10,0.02,1135166.6,-0.43785998630223005,1.0728197918567839,11.35166625,96602.53,-0.37148433172251843,0.07974726214326641,0.9660253125
100,3,20,20,0.01,1070577.8,-0.2860545875961318,1.0544649210622026,10.7057775,197833.5,-0.2214495349237071,1.6264811031575814,1.978335
100,3,20,20,0.02,1304010.9,-0.437971702666353,1.0911182358510392,13.04010875,96267.26,-0.3714903098376272,0.07246223207477392,0.962672578125
100,4,5,5,0.01,356856.22,-0.3464742781832248,0.8337425910429882,3.5685621875,116971.07,-0.15688449504903063,0.6454142542618995,1.169710703125
100,4,5,5,0.02,2106139.0,-0.3851593064863812,1.2624065762401213,21.06139,133619.5,-0.19885600521923286,0.810965531396959,1.336195
