date,returns,rewards,portfolio_values
2014-03-28,0.0,0.0,100000.0
2014-03-31,-0.00022210937500000139,-0.41753296623208314,99977.7890625
2014-04-01,0.0091477632522583,-41.902072528496305,100892.3671875
2014-04-02,0.0016613006591796875,-49.03052731763816,101059.9765625
2014-04-03,-0.006929993629455566,-44.05681601882247,100359.6328125
2014-04-04,-0.012937605381011963,-65.48197493441197,99061.21875
2014-04-07,-0.01569986343383789,-112.48405692341726,97505.96875
2014-04-08,-5.7220458984375e-05,-130.36683077159313,97500.390625
2014-04-09,0.01314389705657959,-125.16864750357946,98781.9296875
2014-04-10,-0.012898921966552734,-132.31168235141078,97507.75
2014-04-11,-0.007392764091491699,-144.75768587072923,96786.8984375
2014-04-14,0.003928542137145996,-147.864551980608,97167.125
2014-04-15,-0.007045745849609375,-155.7251908201376,96482.5078125
2014-04-16,0.002083420753479004,-158.7164459173074,96683.5234375
2014-04-17,0.011339545249938965,-154.51503020655312,97779.875
2014-04-21,0.011806368827819824,-149.94823741050678,98934.296875
2014-04-22,0.001012563705444336,-145.93690839831044,99034.4765625
2014-04-23,-0.013036191463470459,-143.03438690995156,97743.4453125
2014-04-24,0.0816570520401001,-212.55727698450616,105724.8828125
2014-04-25,0.007313251495361328,-265.1694845418207,106498.0703125
2014-04-28,0.03865528106689453,-353.75462405952294,110614.78125
2014-04-29,-0.002980828285217285,-408.5849386303757,110285.0546875
2014-04-30,-0.003781557083129883,-444.7031637939688,109868.0078125
2014-05-01,0.002355337142944336,-474.2224136060909,110126.7890625
2014-05-02,0.001858830451965332,-498.5614073088066,110331.5
2014-05-05,0.01414024829864502,-528.307407630409,111891.6171875
2014-05-06,-0.010899066925048828,-544.4011563867105,110672.1015625
2014-05-07,-0.0034987330436706543,-555.2295492358983,110284.890625
2014-05-08,-0.001782238483428955,-562.9060219962762,110088.3359375
2014-05-09,-0.004166245460510254,-567.0429662892773,109629.6796875
2014-05-12,0.012449979782104492,-575.4929697689231,110994.5703125
2014-05-13,0.0015685558319091797,-582.9843731974875,111168.671875
2014-05-14,0.00018525123596191406,-589.0609870520553,111189.265625
2014-05-15,-0.008503913879394531,-590.7032454883226,110243.71875
2014-05-16,0.014758944511413574,-597.0876844988524,111870.796875
2014-05-19,0.011848926544189453,-607.2453807789913,113196.3515625
2014-05-20,0.00019824504852294922,-615.8440613980356,113218.796875
2014-05-21,0.0026460886001586914,-624.1074474814579,113518.3828125
2014-05-22,0.0015833377838134766,-631.6697034405602,113698.125
2014-05-23,0.011296510696411133,-642.5411949447364,114982.5234375
2014-05-27,0.01872551441192627,-660.2125444383364,117135.625
2014-05-28,-0.0025895237922668457,-674.3038615407813,116832.296875
2014-05-29,0.01822054386138916,-694.884353719216,118961.0390625
2014-05-30,-0.0037456750869750977,-711.0472957311175,118515.453125
2014-06-02,-0.006871938705444336,-722.2963410337921,117701.0234375
2014-06-03,0.014140963554382324,-737.7714732477289,119365.4296875
2014-06-04,0.011419057846069336,-756.2696195445401,120728.46875
2014-06-05,0.003923535346984863,-774.2569091579862,121202.1484375
2014-06-06,-0.002749323844909668,-788.9941435517072,120868.921875
2014-06-09,0.016001224517822266,-808.5911990243353,122802.9765625
2014-06-10,0.005869507789611816,-828.4907262275781,123523.7734375
2014-06-11,-0.004137933254241943,-844.4850960754922,123012.640625
2014-06-12,-0.016726791858673096,-852.8417776293117,120955.03125
2014-06-13,-0.010943293571472168,-857.047132650769,119631.3828125
2014-06-16,0.010078668594360352,-863.4067778650167,120837.109375
2014-06-17,-0.0013011693954467773,-868.6590455239299,120679.8828125
2014-06-18,0.0010859966278076172,-873.5370194291778,120810.9453125
2014-06-19,-0.003471195697784424,-876.9283179950717,120391.5859375
2014-06-20,-0.010341644287109375,-877.516357109291,119146.5390625
2014-06-23,-0.0008797645568847656,-877.6379929677039,119041.71875
2014-06-24,-0.006055295467376709,-876.407247100266,118320.8828125
2014-06-25,0.0008863210678100586,-875.1703399618825,118425.7578125
2014-06-26,0.005975842475891113,-874.8323843903815,119133.453125
2014-06-27,0.011881351470947266,-876.5829174501721,120548.921875
2014-06-30,0.010327458381652832,-880.2410686619602,121793.8828125
2014-07-01,0.006348609924316406,-884.9272389988814,122567.109375
2014-07-02,-0.0004277229309082031,-889.0218550021174,122514.6875
2014-07-03,0.005883455276489258,-894.0133348705468,123235.5
2014-07-07,0.02063131332397461,-903.7401768352609,125778.015625
2014-07-08,-0.006460428237915039,-910.9482083514031,124965.4375
2014-07-09,0.0004191398620605469,-917.6121251143732,125017.8203125
2014-07-10,-0.0036689043045043945,-922.8321570517044,124559.140625
2014-07-11,0.001894235610961914,-927.9924752310601,124795.0859375
2014-07-14,0.012916803359985352,-935.7078925588306,126407.0390625
2014-07-15,-0.011715114116668701,-940.112673556823,124926.1640625
2014-07-16,-0.005663514137268066,-942.9455245349873,124218.640625
2014-07-17,-0.01782989501953125,-942.4157541548287,122003.8359375
2014-07-18,0.014394164085388184,-944.0517887528533,123759.984375
2014-07-21,-0.005188584327697754,-944.6072085444232,123117.84375
2014-07-22,0.008302807807922363,-946.3469444249561,124140.0625
2014-07-23,0.02607595920562744,-952.9617565830566,127377.140625
2014-07-24,-0.0016460418701171875,-958.7372444370983,127167.46875
2014-07-25,0.006595492362976074,-965.477360750461,128006.203125
2014-07-28,0.013821601867675781,-974.9124144337106,129775.453125
2014-07-29,-0.006463587284088135,-982.1959009246909,128936.640625
2014-07-30,-0.0023377537727355957,-988.4444544565122,128635.21875
2014-07-31,-0.025980472564697266,-989.4817589156768,125293.21875
2014-08-01,0.005543828010559082,-991.1848332391332,125987.8203125
2014-08-04,-0.005616962909698486,-991.8423926615703,125280.1484375
2014-08-05,-0.004916489124298096,-991.6528245023915,124664.2109375
2014-08-06,-0.0016825199127197266,-991.1298244342871,124454.4609375
2014-08-07,-0.00010561943054199219,-990.4991983473261,124441.3125
2014-08-08,0.002752065658569336,-990.1268630816936,124783.78125
2014-08-11,0.013193488121032715,-991.4602482769379,126430.1171875
2014-08-12,-0.0002079010009765625,-992.6078745687118,126403.8359375
2014-08-13,0.013233304023742676,-995.6185082182606,128076.5703125
2014-08-14,0.0026738643646240234,-998.8446293633024,128419.0234375
2014-08-15,0.004923343658447266,-1002.646156813609,129051.28125
2014-08-18,0.012043118476867676,-1008.3239805672139,130605.46875
2014-08-19,0.013815879821777344,-1016.3667893924128,132409.890625
2014-08-20,0.00039780139923095703,-1024.025041318242,132462.5625
2014-08-21,9.97781753540039e-05,-1031.2483773478637,132475.78125
2014-08-22,0.007357001304626465,-1039.5268309899395,133450.40625
2014-08-25,0.0021715164184570312,-1047.7835564351715,133740.203125
2014-08-26,-0.006401658058166504,-1054.3170218602445,132884.046875
2014-08-27,0.012290239334106445,-1062.8580924207013,134517.21875
2014-08-28,0.0011754035949707031,-1071.1785486393374,134675.328125
2014-08-29,0.002444744110107422,-1079.5251851029138,135004.578125
2014-09-02,0.007804751396179199,-1089.0005623160685,136058.25
