date,pound_dollar_exchange_rate
2014-01-02,1.64
2014-01-03,1.64
2014-01-06,1.64
2014-01-07,1.64
2014-01-08,1.65
2014-01-09,1.65
2014-01-10,1.65
2014-01-13,1.64
2014-01-14,1.65
2014-01-15,1.64
2014-01-16,1.63
2014-01-17,1.64
2014-01-21,1.65
2014-01-22,1.66
2014-01-23,1.66
2014-01-24,1.65
2014-01-27,1.66
2014-01-28,1.66
2014-01-29,1.66
2014-01-30,1.65
2014-01-31,1.65
2014-02-03,1.63
2014-02-04,1.63
2014-02-05,1.63
2014-02-06,1.63
2014-02-07,1.64
2014-02-10,1.64
2014-02-11,1.65
2014-02-12,1.66
2014-02-13,1.66
2014-02-14,1.67
2014-02-18,1.67
2014-02-19,1.67
2014-02-20,1.66
2014-02-21,1.66
2014-02-24,1.66
2014-02-25,1.67
2014-02-26,1.66
2014-02-27,1.67
2014-02-28,1.68
2014-03-03,1.67
2014-03-04,1.67
2014-03-05,1.67
2014-03-06,1.67
2014-03-07,1.67
2014-03-10,1.66
2014-03-11,1.66
2014-03-12,1.66
2014-03-13,1.67
2014-03-14,1.66
2014-03-17,1.66
2014-03-18,1.66
2014-03-19,1.66
2014-03-20,1.65
2014-03-21,1.65
2014-03-24,1.65
2014-03-25,1.65
2014-03-26,1.66
2014-03-27,1.66
2014-03-28,1.66
2014-03-31,1.67
2014-04-01,1.66
2014-04-02,1.66
2014-04-03,1.66
2014-04-04,1.66
2014-04-07,1.66
2014-04-08,1.67
2014-04-09,1.68
2014-04-10,1.68
2014-04-11,1.67
2014-04-14,1.67
2014-04-15,1.67
2014-04-16,1.68
2014-04-17,1.68
2014-04-18,1.68
2014-04-21,1.68
2014-04-22,1.68
2014-04-23,1.68
2014-04-24,1.68
2014-04-25,1.68
2014-04-28,1.68
2014-04-29,1.68
2014-04-30,1.69
2014-05-01,1.69
2014-05-02,1.69
2014-05-05,1.69
2014-05-06,1.7
2014-05-07,1.7
2014-05-08,1.69
2014-05-09,1.68
2014-05-12,1.69
2014-05-13,1.68
2014-05-14,1.68
2014-05-15,1.68
2014-05-16,1.68
2014-05-19,1.68
2014-05-20,1.68
2014-05-21,1.69
2014-05-22,1.69
2014-05-23,1.68
2014-05-27,1.68
2014-05-28,1.67
2014-05-29,1.67
2014-05-30,1.68
2014-06-02,1.68
2014-06-03,1.68
2014-06-04,1.67
2014-06-05,1.68
2014-06-06,1.68
2014-06-09,1.68
2014-06-10,1.68
2014-06-11,1.68
2014-06-12,1.69
2014-06-13,1.7
2014-06-16,1.7
2014-06-17,1.7
2014-06-18,1.7
2014-06-19,1.7
2014-06-20,1.7
2014-06-23,1.7
2014-06-24,1.7
2014-06-25,1.7
2014-06-26,1.7
2014-06-27,1.7
2014-06-30,1.71
2014-07-01,1.71
2014-07-02,1.72
2014-07-03,1.72
2014-07-07,1.71
2014-07-08,1.71
2014-07-09,1.71
2014-07-10,1.71
2014-07-11,1.71
2014-07-14,1.71
2014-07-15,1.71
2014-07-16,1.71
2014-07-17,1.71
2014-07-18,1.71
2014-07-21,1.71
2014-07-22,1.71
2014-07-23,1.7
2014-07-24,1.7
2014-07-25,1.7
2014-07-28,1.7
2014-07-29,1.69
2014-07-30,1.69
2014-07-31,1.69
2014-08-01,1.68
2014-08-04,1.68
2014-08-05,1.69
2014-08-06,1.68
2014-08-07,1.68
2014-08-08,1.68
2014-08-11,1.68
2014-08-12,1.68
2014-08-13,1.67
2014-08-14,1.67
2014-08-15,1.67
2014-08-18,1.67
2014-08-19,1.66
2014-08-20,1.66
2014-08-21,1.66
2014-08-22,1.66
2014-08-25,1.66
2014-08-26,1.66
2014-08-27,1.66
2014-08-28,1.66
2014-08-29,1.66
2014-09-02,1.65
2014-09-03,1.65
2014-09-04,1.63
2014-09-05,1.63
2014-09-08,1.61
2014-09-09,1.61
2014-09-10,1.61
2014-09-11,1.62
2014-09-12,1.62
2014-09-15,1.62
2014-09-16,1.63
2014-09-17,1.63
2014-09-18,1.64
2014-09-19,1.63
2014-09-22,1.63
2014-09-23,1.64
2014-09-24,1.63
2014-09-25,1.63
2014-09-26,1.63
2014-09-29,1.63
2014-09-30,1.62
2014-10-01,1.62
2014-10-02,1.61
2014-10-03,1.6
2014-10-06,1.6
2014-10-07,1.61
2014-10-08,1.61
2014-10-09,1.61
2014-10-10,1.6
2014-10-14,1.59
2014-10-15,1.6
2014-10-16,1.61
2014-10-17,1.61
2014-10-20,1.61
2014-10-21,1.61
2014-10-22,1.61
2014-10-23,1.6
2014-10-24,1.61
2014-10-27,1.61
2014-10-28,1.62
2014-10-29,1.61
2014-10-30,1.6
2014-10-31,1.6
2014-11-03,1.6
2014-11-04,1.6
2014-11-05,1.6
2014-11-06,1.59
2014-11-07,1.58
2014-11-10,1.59
2014-11-12,1.58
2014-11-13,1.57
2014-11-14,1.57
2014-11-17,1.56
2014-11-18,1.56
2014-11-19,1.57
2014-11-20,1.57
2014-11-21,1.57
2014-11-24,1.57
2014-11-25,1.57
2014-11-26,1.58
2014-11-28,1.56
2014-12-01,1.57
2014-12-02,1.57
2014-12-03,1.57
2014-12-04,1.57
2014-12-05,1.56
2014-12-08,1.56
2014-12-09,1.57
2014-12-10,1.57
2014-12-11,1.57
2014-12-12,1.57
2014-12-15,1.57
2014-12-16,1.57
2014-12-17,1.57
2014-12-18,1.57
2014-12-19,1.56
2014-12-22,1.56
2014-12-23,1.55
2014-12-24,1.55
2014-12-29,1.55
2014-12-30,1.56
2014-12-31,1.56
2015-01-02,1.54
2015-01-05,1.52
2015-01-06,1.52
2015-01-07,1.51
2015-01-08,1.51
2015-01-09,1.52
2015-01-12,1.52
2015-01-13,1.52
2015-01-14,1.52
2015-01-15,1.52
2015-01-16,1.51
2015-01-20,1.52
2015-01-21,1.51
2015-01-22,1.51
2015-01-23,1.5
2015-01-26,1.51
2015-01-27,1.52
2015-01-28,1.52
2015-01-29,1.5
2015-01-30,1.5
2015-02-02,1.5
2015-02-03,1.51
2015-02-04,1.52
2015-02-05,1.53
2015-02-06,1.52
2015-02-09,1.52
2015-02-10,1.53
2015-02-11,1.52
2015-02-12,1.54
2015-02-13,1.54
2015-02-17,1.53
2015-02-18,1.54
2015-02-19,1.55
2015-02-20,1.54
2015-02-23,1.55
2015-02-24,1.54
2015-02-25,1.55
2015-02-26,1.54
2015-02-27,1.54
2015-03-02,1.54
2015-03-03,1.54
2015-03-04,1.53
2015-03-05,1.52
2015-03-06,1.51
2015-03-09,1.51
2015-03-10,1.51
2015-03-11,1.49
2015-03-12,1.49
2015-03-13,1.48
2015-03-16,1.48
2015-03-17,1.47
2015-03-18,1.47
2015-03-19,1.47
2015-03-20,1.49
2015-03-23,1.49
2015-03-24,1.49
2015-03-25,1.49
2015-03-26,1.48
2015-03-27,1.49
2015-03-30,1.48
2015-03-31,1.49
2015-04-01,1.48
2015-04-02,1.48
2015-04-03,1.49
2015-04-06,1.5
2015-04-07,1.49
2015-04-08,1.49
2015-04-09,1.47
2015-04-10,1.46
2015-04-13,1.47
2015-04-14,1.48
2015-04-15,1.48
2015-04-16,1.49
2015-04-17,1.49
2015-04-20,1.49
2015-04-21,1.49
2015-04-22,1.5
2015-04-23,1.5
2015-04-24,1.52
2015-04-27,1.52
2015-04-28,1.53
2015-04-29,1.55
2015-04-30,1.53
2015-05-01,1.51
2015-05-04,1.51
2015-05-05,1.52
2015-05-06,1.52
2015-05-07,1.52
2015-05-08,1.55
2015-05-11,1.56
2015-05-12,1.57
2015-05-13,1.57
2015-05-14,1.58
2015-05-15,1.58
2015-05-18,1.57
2015-05-19,1.55
2015-05-20,1.55
2015-05-21,1.57
2015-05-22,1.55
2015-05-26,1.54
2015-05-27,1.53
2015-05-28,1.53
2015-05-29,1.53
2015-06-01,1.52
2015-06-02,1.53
2015-06-03,1.54
2015-06-04,1.54
2015-06-05,1.53
2015-06-08,1.53
2015-06-09,1.54
2015-06-10,1.55
2015-06-11,1.55
2015-06-12,1.56
2015-06-15,1.56
2015-06-16,1.56
2015-06-17,1.57
2015-06-18,1.59
2015-06-19,1.59
2015-06-22,1.58
2015-06-23,1.58
2015-06-24,1.57
2015-06-25,1.57
2015-06-26,1.57
2015-06-29,1.58
2015-06-30,1.57
2015-07-01,1.56
2015-07-02,1.56
2015-07-06,1.56
2015-07-07,1.54
2015-07-08,1.54
2015-07-09,1.54
2015-07-10,1.55
2015-07-13,1.55
2015-07-14,1.56
2015-07-15,1.56
2015-07-16,1.56
2015-07-17,1.56
2015-07-20,1.56
2015-07-21,1.56
2015-07-22,1.56
2015-07-23,1.55
2015-07-24,1.55
2015-07-27,1.56
2015-07-28,1.56
2015-07-29,1.56
2015-07-30,1.56
2015-07-31,1.56
2015-08-03,1.56
2015-08-04,1.56
2015-08-05,1.56
2015-08-06,1.55
2015-08-07,1.55
2015-08-10,1.55
2015-08-11,1.56
2015-08-12,1.56
2015-08-13,1.56
2015-08-14,1.56
2015-08-17,1.56
2015-08-18,1.57
2015-08-19,1.56
2015-08-20,1.57
2015-08-21,1.57
2015-08-24,1.57
2015-08-25,1.57
2015-08-26,1.55
2015-08-27,1.54
2015-08-28,1.54
2015-08-31,1.54
2015-09-01,1.53
2015-09-02,1.53
2015-09-03,1.53
2015-09-04,1.52
2015-09-08,1.54
2015-09-09,1.54
2015-09-10,1.55
2015-09-11,1.54
2015-09-14,1.54
2015-09-15,1.54
2015-09-16,1.55
2015-09-17,1.55
2015-09-18,1.56
2015-09-21,1.55
2015-09-22,1.54
2015-09-23,1.52
2015-09-24,1.53
2015-09-25,1.52
2015-09-28,1.52
2015-09-29,1.52
2015-09-30,1.51
2015-10-01,1.52
2015-10-02,1.52
2015-10-05,1.52
2015-10-06,1.52
2015-10-07,1.53
2015-10-08,1.53
2015-10-09,1.53
2015-10-13,1.52
2015-10-14,1.54
2015-10-15,1.55
2015-10-16,1.54
2015-10-19,1.55
2015-10-20,1.55
2015-10-21,1.55
2015-10-22,1.54
2015-10-23,1.53
2015-10-26,1.54
2015-10-27,1.53
2015-10-28,1.53
2015-10-29,1.53
2015-10-30,1.54
2015-11-02,1.54
2015-11-03,1.54
2015-11-04,1.54
2015-11-05,1.52
2015-11-06,1.51
2015-11-09,1.51
2015-11-10,1.51
2015-11-12,1.52
2015-11-13,1.52
2015-11-16,1.52
2015-11-17,1.52
2015-11-18,1.52
2015-11-19,1.53
2015-11-20,1.52
2015-11-23,1.51
2015-11-24,1.51
2015-11-25,1.51
2015-11-27,1.5
2015-11-30,1.5
2015-12-01,1.51
2015-12-02,1.49
2015-12-03,1.51
2015-12-04,1.51
2015-12-07,1.51
2015-12-08,1.5
2015-12-09,1.52
2015-12-10,1.52
2015-12-11,1.52
2015-12-14,1.51
2015-12-15,1.5
2015-12-16,1.5
2015-12-17,1.49
2015-12-18,1.49
2015-12-21,1.49
2015-12-22,1.48
2015-12-23,1.49
2015-12-24,1.49
2015-12-28,1.49
2015-12-29,1.48
2015-12-30,1.48
2015-12-31,1.47
2016-01-04,1.47
2016-01-05,1.47
2016-01-06,1.46
2016-01-07,1.46
2016-01-08,1.45
2016-01-11,1.46
2016-01-12,1.44
2016-01-13,1.45
2016-01-14,1.44
2016-01-15,1.43
2016-01-19,1.42
2016-01-20,1.42
2016-01-21,1.42
2016-01-22,1.43
2016-01-25,1.42
2016-01-26,1.43
2016-01-27,1.43
2016-01-28,1.44
2016-01-29,1.42
2016-02-01,1.44
2016-02-02,1.44
2016-02-03,1.46
2016-02-04,1.46
2016-02-05,1.45
2016-02-08,1.44
2016-02-09,1.45
2016-02-10,1.45
2016-02-11,1.44
2016-02-12,1.45
2016-02-16,1.43
2016-02-17,1.43
2016-02-18,1.43
2016-02-19,1.43
2016-02-22,1.42
2016-02-23,1.4
2016-02-24,1.39
2016-02-25,1.39
2016-02-26,1.39
2016-02-29,1.39
2016-03-01,1.39
2016-03-02,1.41
2016-03-03,1.42
2016-03-04,1.42
2016-03-07,1.43
2016-03-08,1.42
2016-03-09,1.42
2016-03-10,1.43
2016-03-11,1.44
2016-03-14,1.43
2016-03-15,1.42
2016-03-16,1.41
2016-03-17,1.45
2016-03-18,1.45
2016-03-21,1.44
2016-03-22,1.42
2016-03-23,1.41
2016-03-24,1.41
2016-03-25,1.41
2016-03-28,1.43
2016-03-29,1.43
2016-03-30,1.44
2016-03-31,1.44
2016-04-01,1.42
2016-04-04,1.43
2016-04-05,1.41
2016-04-06,1.42
2016-04-07,1.41
2016-04-08,1.41
2016-04-11,1.42
2016-04-12,1.42
2016-04-13,1.42
2016-04-14,1.41
2016-04-15,1.42
2016-04-18,1.43
2016-04-19,1.44
2016-04-20,1.44
2016-04-21,1.43
2016-04-22,1.44
2016-04-25,1.45
2016-04-26,1.46
2016-04-27,1.46
2016-04-28,1.46
2016-04-29,1.46
2016-05-16,1.4411
2016-05-17,1.4485
2016-05-18,1.4615
2016-05-19,1.4608
2016-05-20,1.4513
2016-05-23,1.4444
2016-05-24,1.4623
2016-05-25,1.4694
2016-05-26,1.4673
2016-05-27,1.4644
2016-05-31,1.453
2016-06-01,1.4395
2016-06-02,1.4419
2016-06-03,1.4521
2016-06-06,1.445
2016-06-07,1.4564
2016-06-08,1.4504
2016-06-09,1.4458
2016-06-10,1.4257
2016-06-13,1.427
2016-06-14,1.4114
2016-06-15,1.4204
2016-06-16,1.4203
2016-06-17,1.4358
2016-06-20,1.4698
2016-06-21,1.4652
2016-06-22,1.4707
2016-06-23,1.4877
2016-06-24,1.3679
2016-06-27,1.3225
2016-06-28,1.3344
2016-06-29,1.3429
2016-06-30,1.3311
2016-07-01,1.3267
2016-07-04,1.3287
2016-07-05,1.3022
2016-07-06,1.2931
2016-07-07,1.2908
2016-07-08,1.2954
2016-07-11,1.2998
2016-07-12,1.3247
2016-07-13,1.3147
2016-07-14,1.3343
2016-07-15,1.3192
2016-07-18,1.3255
2016-07-19,1.3111
2016-07-20,1.3208
2016-07-21,1.3233
2016-07-22,1.3109
2016-07-25,1.314
2016-07-26,1.313
2016-07-27,1.3223
2016-07-28,1.3164
2016-07-29,1.323
2016-08-01,1.3179
2016-08-02,1.3357
2016-08-03,1.3325
2016-08-04,1.3107
2016-08-05,1.3073
2016-08-08,1.304
2016-08-09,1.3003
2016-08-10,1.301
2016-08-11,1.2956
2016-08-12,1.292
2016-08-15,1.288
2016-08-16,1.3046
2016-08-17,1.3042
2016-08-18,1.3168
2016-08-19,1.3075
2016-08-22,1.3137
2016-08-23,1.3198
2016-08-24,1.3232
2016-08-25,1.3192
2016-08-26,1.3137
2016-08-29,1.3106
2016-08-30,1.308
2016-08-31,1.3138
2016-09-01,1.3268
2016-09-02,1.3294
2016-09-05,1.3304
2016-09-06,1.344
2016-09-07,1.3341
2016-09-08,1.3295
2016-09-09,1.3267
2016-09-12,1.3337
2016-09-13,1.3193
2016-09-14,1.3235
2016-09-15,1.3239
2016-09-16,1.3002
2016-09-19,1.303
2016-09-20,1.2988
2016-09-21,1.3032
2016-09-22,1.3078
2016-09-23,1.2966
2016-09-26,1.2975
2016-09-27,1.3023
2016-09-28,1.3019
2016-09-29,1.2968
2016-09-30,1.2972
2016-10-03,1.2842
2016-10-04,1.2728
2016-10-05,1.2749
2016-10-06,1.2616
2016-10-07,1.2434
2016-10-10,1.2362
2016-10-11,1.2123
2016-10-12,1.2204
2016-10-13,1.2254
2016-10-14,1.2191
2016-10-17,1.2183
2016-10-18,1.2298
2016-10-19,1.2285
2016-10-20,1.2254
2016-10-21,1.2234
2016-10-24,1.2238
2016-10-25,1.2188
2016-10-26,1.2247
2016-10-27,1.2164
2016-10-28,1.2185
2016-10-31,1.2242
2016-11-01,1.2243
2016-11-02,1.2304
2016-11-03,1.2461
2016-11-04,1.2517
2016-11-07,1.2396
2016-11-08,1.2379
2016-11-09,1.2406
2016-11-10,1.2555
2016-11-11,1.2596
2016-11-14,1.249
2016-11-15,1.2457
2016-11-16,1.2443
2016-11-17,1.2417
2016-11-18,1.2342
2016-11-21,1.2494
2016-11-22,1.2423
2016-11-23,1.2443
2016-11-24,1.2451
2016-11-25,1.2477
2016-11-28,1.2416
2016-11-29,1.2493
2016-11-30,1.2506
2016-12-01,1.2591
2016-12-02,1.2729
2016-12-05,1.2732
2016-12-06,1.2678
2016-12-07,1.2626
2016-12-08,1.2586
2016-12-09,1.2572
2016-12-12,1.2679
2016-12-13,1.2658
2016-12-14,1.2564
2016-12-15,1.2418
2016-12-16,1.2496
2016-12-19,1.2395
2016-12-20,1.2368
2016-12-21,1.2353
2016-12-22,1.2283
2016-12-23,1.2282
2016-12-26,1.2282
2016-12-27,1.2271
2016-12-28,1.2226
2016-12-29,1.2261
2016-12-30,1.234
2017-01-02,1.2278
2017-01-03,1.2237
2017-01-04,1.2323
2017-01-05,1.2419
2017-01-06,1.2287
2017-01-09,1.2163
2017-01-10,1.2177
2017-01-11,1.2213
2017-01-12,1.2162
2017-01-13,1.2182
2017-01-16,1.2047
2017-01-17,1.2414
2017-01-18,1.2261
2017-01-19,1.2342
2017-01-20,1.2375
2017-01-23,1.2535
2017-01-24,1.252
2017-01-25,1.2634
2017-01-26,1.2597
2017-01-27,1.2555
2017-01-30,1.2486
2017-01-31,1.2579
2017-02-01,1.2659
2017-02-02,1.2527
2017-02-03,1.2484
2017-02-06,1.2469
2017-02-07,1.2509
2017-02-08,1.2541
2017-02-09,1.2497
2017-02-10,1.2491
2017-02-13,1.2526
2017-02-14,1.2468
2017-02-15,1.2461
2017-02-16,1.2489
2017-02-17,1.2412
2017-02-20,1.2463
2017-02-21,1.2473
2017-02-22,1.245
2017-02-23,1.2556
2017-02-24,1.2462
2017-02-27,1.2442
2017-02-28,1.238
2017-03-01,1.2293
2017-03-02,1.2267
2017-03-03,1.2291
2017-03-06,1.2236
