date,symbol,ratingScore,ratingDetailsDCFScore,ratingDetailsROEScore,ratingDetailsROAScore,ratingDetailsPEScore,ratingDetailsPBScore
2024-03-28,AAPL,5,3,5,5,4,5
2024-03-27,AAPL,5,3,5,5,4,5
2024-03-26,AAPL,5,3,5,5,4,5
2024-03-25,AAPL,5,3,5,5,4,5
2024-03-21,AAPL,5,3,5,5,4,5
2024-03-20,AAPL,5,3,5,5,4,5
2024-03-19,AAPL,5,3,5,5,4,5
2024-03-18,AAPL,5,3,5,5,4,5
2024-03-15,AAPL,5,3,5,5,4,5
2024-03-14,AAPL,5,3,5,5,4,5
2024-03-13,AAPL,5,3,5,5,4,5
2024-03-12,AAPL,5,3,5,5,4,5
2024-03-11,AAPL,5,3,5,5,4,5
2024-03-07,AAPL,5,3,5,5,4,5
2024-03-06,AAPL,5,3,5,5,4,5
2024-03-05,AAPL,5,3,5,5,4,5
2024-03-04,AAPL,5,3,5,5,4,5
2024-03-01,AAPL,5,3,5,5,4,5
2024-02-29,AAPL,5,3,5,5,4,5
2024-02-28,AAPL,5,3,5,5,4,5
2024-02-27,AAPL,5,3,5,5,4,5
2024-02-26,AAPL,5,3,5,5,4,5
2024-02-23,AAPL,5,3,5,5,4,5
2024-02-22,AAPL,5,3,5,5,4,5
2024-02-21,AAPL,5,3,5,5,4,5
2024-02-20,AAPL,5,3,5,5,4,5
2024-02-16,AAPL,5,3,5,5,4,5
2024-02-15,AAPL,5,3,5,5,4,5
2024-02-14,AAPL,5,3,5,5,4,5
2024-02-13,AAPL,5,3,5,5,4,5
2024-02-12,AAPL,5,3,5,5,4,5
2024-02-09,AAPL,5,3,5,5,4,5
2024-02-08,AAPL,5,3,5,5,4,5
2024-02-07,AAPL,5,3,5,5,4,5
2024-02-06,AAPL,5,3,5,5,4,5
2024-02-05,AAPL,5,3,5,5,4,5
2024-02-02,AAPL,5,3,5,5,5,5
2024-02-01,AAPL,5,3,5,5,5,5
2024-01-31,AAPL,5,3,5,5,5,5
2024-01-30,AAPL,5,3,5,5,5,5
2024-01-29,AAPL,5,3,5,5,5,5
2024-01-26,AAPL,5,3,5,5,5,5
2024-01-25,AAPL,5,3,5,5,5,5
2024-01-24,AAPL,5,3,5,5,5,5
2024-01-23,AAPL,5,3,5,5,5,5
2024-01-22,AAPL,5,3,5,5,5,5
2024-01-19,AAPL,5,3,5,5,5,5
2024-01-18,AAPL,5,5,5,3,5,5
2024-01-17,AAPL,5,5,5,3,5,5
2024-01-16,AAPL,5,5,5,3,5,5
2024-01-12,AAPL,5,5,5,3,5,5
2024-01-11,AAPL,5,5,5,3,5,5
2024-01-10,AAPL,5,5,5,3,5,5
2024-01-09,AAPL,5,5,5,3,5,5
2024-01-08,AAPL,5,5,5,3,5,5
2024-01-05,AAPL,5,5,5,3,5,5
2024-01-04,AAPL,5,5,5,3,5,5
2024-01-03,AAPL,5,5,5,3,5,5
2024-01-02,AAPL,5,5,5,3,5,5
2023-12-29,AAPL,5,5,5,3,5,5
2023-12-28,AAPL,5,5,5,3,5,5
2023-12-27,AAPL,5,5,5,3,5,5
2023-12-26,AAPL,5,5,5,3,5,5
2023-12-22,AAPL,5,5,5,3,5,5
2023-12-21,AAPL,5,5,5,3,5,5
2023-12-20,AAPL,5,5,5,3,5,5
2023-12-19,AAPL,5,5,5,3,5,5
2023-12-18,AAPL,5,5,5,3,5,5
2023-12-15,AAPL,5,5,5,3,5,5
2023-12-14,AAPL,5,5,5,3,5,5
2023-12-13,AAPL,5,5,5,3,5,5
2023-12-12,AAPL,5,5,5,3,5,5
2023-12-11,AAPL,5,5,5,3,5,5
2023-12-08,AAPL,5,5,5,3,5,5
2023-12-07,AAPL,5,5,5,3,5,5
2023-12-06,AAPL,5,5,5,3,5,5
2023-12-05,AAPL,5,5,5,3,5,5
2023-12-04,AAPL,5,5,5,3,5,5
2023-12-01,AAPL,5,5,5,3,5,5
2023-11-30,AAPL,5,5,5,3,5,5
2023-11-29,AAPL,5,5,5,3,5,5
2023-11-28,AAPL,5,5,5,3,5,5
2023-11-27,AAPL,5,5,5,3,5,5
2023-11-24,AAPL,5,5,5,3,5,5
2023-11-22,AAPL,5,5,5,3,5,5
2023-11-21,AAPL,5,5,5,3,5,5
2023-11-20,AAPL,5,5,5,3,5,5
2023-11-17,AAPL,5,5,5,3,5,5
2023-11-16,AAPL,5,5,5,3,5,5
2023-11-15,AAPL,5,5,5,3,5,5
2023-11-14,AAPL,5,5,5,3,5,5
2023-11-13,AAPL,5,5,5,3,5,5
2023-11-10,AAPL,5,5,5,3,5,5
2023-11-09,AAPL,5,5,5,3,5,5
2023-11-08,AAPL,5,5,5,3,5,5
2023-11-07,AAPL,5,5,5,3,5,5
2023-11-06,AAPL,5,5,5,3,5,5
2023-11-03,AAPL,5,5,5,3,5,5
2023-11-02,AAPL,5,5,5,3,5,5
2023-11-01,AAPL,5,5,5,3,5,5
2023-10-31,AAPL,5,5,5,3,5,5
2023-10-30,AAPL,5,5,5,3,5,5
2023-10-27,AAPL,5,5,5,3,5,5
2023-10-26,AAPL,5,5,5,3,5,5
2023-10-25,AAPL,5,5,5,3,5,5
2023-10-24,AAPL,5,5,5,3,5,5
2023-10-23,AAPL,5,5,5,3,5,5
2023-10-20,AAPL,5,5,5,3,5,5
2023-10-19,AAPL,5,5,5,3,5,5
2023-10-18,AAPL,5,5,5,3,5,5
2023-10-17,AAPL,5,5,5,3,5,5
2023-10-16,AAPL,5,5,5,3,5,5
2023-10-13,AAPL,5,5,5,3,5,5
2023-10-12,AAPL,5,5,5,3,5,5
2023-10-11,AAPL,5,5,5,3,5,5
2023-10-10,AAPL,5,5,5,3,5,5
2023-10-09,AAPL,5,5,5,3,5,5
2023-10-06,AAPL,5,5,5,3,5,5
2023-10-05,AAPL,5,5,5,3,5,5
2023-10-04,AAPL,5,5,5,3,5,5
2023-10-03,AAPL,5,5,5,3,5,5
2023-10-02,AAPL,5,5,5,3,5,5
2023-09-29,AAPL,5,5,5,3,5,5
2023-09-28,AAPL,5,5,5,3,5,5
2023-09-27,AAPL,5,5,5,3,5,5
2023-09-26,AAPL,5,5,5,3,5,5
2023-09-25,AAPL,5,5,5,3,5,5
2023-09-22,AAPL,5,5,5,3,5,5
2023-09-21,AAPL,5,5,5,3,5,5
2023-09-20,AAPL,5,5,5,3,5,5
2023-09-19,AAPL,5,5,5,3,5,5
2023-09-18,AAPL,5,5,5,3,5,5
2023-09-15,AAPL,5,5,5,3,5,5
2023-09-14,AAPL,5,5,5,3,5,5
2023-09-13,AAPL,5,5,5,3,5,5
2023-09-12,AAPL,5,5,5,3,5,5
2023-09-11,AAPL,5,5,5,3,5,5
2023-09-08,AAPL,5,5,5,3,5,5
2023-09-07,AAPL,5,5,5,3,5,5
2023-09-06,AAPL,5,5,5,3,5,5
2023-09-05,AAPL,5,5,5,3,5,5
2023-09-01,AAPL,5,5,5,3,5,5
2023-08-31,AAPL,5,5,5,3,5,5
2023-08-30,AAPL,5,5,5,3,5,5
2023-08-29,AAPL,5,5,5,3,5,5
2023-08-28,AAPL,5,5,5,3,5,5
2023-08-25,AAPL,5,5,5,3,5,5
2023-08-24,AAPL,5,5,5,3,5,5
2023-08-23,AAPL,5,5,5,3,5,5
2023-08-22,AAPL,5,5,5,3,5,5
2023-08-21,AAPL,5,5,5,3,5,5
2023-08-18,AAPL,5,5,5,3,5,5
2023-08-17,AAPL,5,5,5,3,5,5
2023-08-16,AAPL,5,5,5,3,5,5
2023-08-15,AAPL,5,5,5,3,5,5
2023-08-14,AAPL,5,5,5,3,5,5
2023-08-11,AAPL,5,5,5,3,5,5
