TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,Normalized Cumulative,Normalized Sharpe,Normalized Max Drawdown,Metric
60,5,5,5,0.01,568874.2,-0.280143581,1.134574131,5.688741875,184472.67,-0.20695172,1.385942204,1.844726719,0.610274409,0.805138395,0.609511076,0.674974627
30,5,20,10,0.01,932897.1,-0.349630368,1.30209159,9.32897125,187806.47,-0.208039067,1.317552264,1.878064688,0.626337892,0.783696182,0.607459406,0.672497827
90,5,20,10,0.01,1143281.6,-0.31427277,1.428601323,11.43281625,182986.27,-0.205086525,1.344036025,1.829862656,0.603112346,0.791999603,0.613030438,0.669380796
30,4,10,5,0.02,480277.22,-0.280393007,0.949053395,4.802772188,182728.69,-0.190333452,1.246413512,1.827286875,0.601871238,0.761392138,0.640867421,0.668043599
60,3,10,20,0.02,557781.56,-0.385158776,1.003633069,5.577815625,191812.66,-0.234112946,1.365519019,1.918126563,0.645641205,0.798735139,0.558261646,0.667545997
30,3,5,20,0.02,675263.94,-0.280393015,1.194505034,6.752639375,191186.8,-0.242101273,1.410986592,1.911867969,0.64262558,0.812990531,0.543188791,0.6662683
60,4,20,10,0.01,908485.2,-0.314272903,1.317011075,9.084851875,193916.89,-0.25033365,1.390138233,1.939168906,0.655780195,0.806453971,0.527655448,0.663296538
30,4,20,20,0.01,328270.5,-0.494440006,0.74869113,3.282705,179697.61,-0.198127837,1.232809276,1.796976094,0.587266368,0.757126819,0.626160509,0.656851232
60,3,5,20,0.01,780622.2,-0.280393163,1.293134069,7.806221875,170140.62,-0.174850672,1.2350872,1.70140625,0.541217235,0.757841013,0.67008126,0.656379836
30,3,10,10,0.02,747051.3,-0.280324589,1.26625484,7.470513125,179660.22,-0.193274274,1.195296163,1.796602188,0.587086206,0.745365379,0.635318502,0.655923362
30,5,10,10,0.01,1151366.5,-0.280253392,1.373996904,11.513665,189912.58,-0.25345462,1.359706792,1.899125781,0.636485916,0.796912839,0.521766614,0.65172179
90,3,20,5,0.02,885201.44,-0.385158835,1.309127037,8.852014375,174697.53,-0.205086575,1.239233922,1.746975313,0.563174117,0.75914113,0.613030343,0.645115197
60,5,20,5,0.01,758378.25,-0.280392956,1.285807706,7.5837825,178779.16,-0.22946308,1.313561911,1.787791563,0.582840916,0.782445092,0.567035292,0.6441071
30,4,10,20,0.02,1372030,-0.283659143,1.520046387,13.7203,179189.98,-0.218182252,1.237278061,1.791899844,0.58482044,0.758527911,0.588320635,0.643889662
30,5,10,20,0.01,1077011,-0.280392478,1.387748418,10.77011,180543.72,-0.233834986,1.27210961,1.805437188,0.59134324,0.769448604,0.558786118,0.63985932
60,4,20,20,0.02,154276.34,-0.201198157,0.624348584,1.542763438,177890.16,-0.225893483,1.224174203,1.778901563,0.578557381,0.754419475,0.573770622,0.635582493
30,4,5,20,0.01,1011960.3,-0.280310685,1.379930551,10.11960313,178238.52,-0.229445614,1.227673009,1.782385156,0.580235907,0.755516451,0.567068248,0.634273535
30,3,10,5,0.02,1088707.5,-0.280492975,1.424686776,10.887075,173405,-0.207654624,1.149954951,1.73405,0.556946217,0.731149605,0.608184795,0.632093539
30,3,10,20,0.02,1071542.6,-0.291927361,1.429557185,10.71542625,167513.8,-0.187354237,1.099985619,1.675137969,0.528560192,0.715482783,0.646488783,0.630177253
60,4,10,10,0.01,247960.77,-0.339342276,0.628683259,2.479607656,179866.28,-0.254195905,1.31204268,1.798662813,0.588079092,0.781968769,0.520367913,0.630138591
90,3,10,20,0.01,355634.03,-0.385158679,0.86443994,3.556340313,181724.05,-0.277134604,1.381496265,1.817240469,0.597030503,0.803744465,0.477085799,0.625953589
90,4,20,10,0.02,680787.56,-0.385116335,1.164755968,6.807875625,171699.39,-0.234507802,1.223879861,1.716993906,0.548727952,0.75432719,0.557516607,0.620190583
