TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,train_portfolio_value,2021_portfolio_value,2022_portfolio_value,2023_portfolio_value,train_drawdown,2021_drawdown,2022_drawdown,2023_drawdown,train_sharpe,2021_sharpe,2022_sharpe,2023_sharpe,train_cumulative,2021_cumulative,2022_cumulative,2023_cumulative
50,3,5,5,320382.44,123974.195,100835.51,115646.82,-0.30869802409941405,-0.04054022037575272,-0.14822957982006008,-0.09938651765175768,0.7439385115347525,2.5355557098783135,0.15204127515804577,1.7728263205774062,3.203824375,1.239741953125,1.008355078125,1.156468203125
50,3,5,10,267608.88,123833.34,100667.79,113932.21,-0.3349261913859083,-0.06112805814421009,-0.1358135792702527,-0.09324228711588256,0.6579763032283829,2.4567116826377493,0.1363093832761421,1.639024984618263,2.67608875,1.2383334375,1.006677890625,1.139322109375
50,3,5,20,274533.1,123793.73,99567.195,116115.89,-0.33767840911334707,-0.05441142963054408,-0.15292445776333802,-0.10460135446655805,0.679288400007483,2.471279618485728,0.06965667470768284,1.7370237787731548,2.7453309375,1.237937265625,0.995671953125,1.16115890625
50,3,10,5,328544.0,125503.65,98766.58,116112.33,-0.32995629697504864,-0.05778707093751424,-0.06807318429473057,-0.1025762398600082,0.8199525638823002,2.5639392334831363,-0.22336464915733953,1.840516115951775,3.28544,1.255036484375,0.98766578125,1.16112328125
50,3,10,10,302270.94,124344.1,100606.39,115522.11,-0.2893522791584085,-0.055117424142330486,-0.1525918317858198,-0.11285883547674802,0.6655935571313045,2.4666821226370685,0.13879882419163772,1.7311170138385261,3.022709375,1.243441015625,1.00606390625,1.15522109375
50,3,10,20,457460.06,125009.72,96325.51,114714.77,-0.43790053574736726,-0.06565605319587908,-0.10977341705429224,-0.11083671829906011,0.7570230259172898,2.505525311839872,-0.3975373739172932,1.5930923171236764,4.574600625,1.2500971875,0.963255078125,1.147147734375
50,4,5,5,839763.9,125536.164,100145.46,116961.73,-0.4329539844147028,-0.05573937537778212,-0.1568088312642604,-0.10845777497545753,0.9268106331095766,2.5866597588542426,0.11082739278350828,1.7529700844825586,8.39763875,1.255361640625,1.001454609375,1.169617265625
50,4,5,10,717308.44,124236.67,100295.58,116105.73,-0.41207681287476206,-0.04812237425486211,-0.15144175219735417,-0.10623833469242866,0.8895561744796906,2.5310361620487645,0.11786716060522709,1.755173407461332,7.173084375,1.24236671875,1.00295578125,1.161057265625
50,4,5,20,787541.3,125228.71,100447.35,117159.305,-0.43661943903449535,-0.06514272518440863,-0.15719930189324083,-0.12034670923687611,0.9067431644899593,2.534581392064852,0.13140506493961523,1.6585487116182962,7.875413125,1.252287109375,1.004473515625,1.171593046875
50,4,10,5,331021.84,124959.86,97412.86,116074.336,-0.3312919458637487,-0.0669099157109027,-0.0869387571782603,-0.11379843432934864,0.8161751010988687,2.4657428631407643,-0.43146856903616637,1.650449435078046,3.3102184375,1.24959859375,0.97412859375,1.160743359375
50,4,10,10,528158.75,124642.03,99712.19,115537.66,-0.2798199188184038,-0.06070485928564531,-0.15619892723239343,-0.10872238847870111,0.8950000994662682,2.443067013276251,0.08324851013598335,1.7054868663634757,5.2815875,1.2464203125,0.997121875,1.1553765625
50,4,10,20,422984.47,123839.57,101977.22,113985.34,-0.437881150346473,-0.07130435557795602,-0.16515037788926004,-0.10755555519314589,0.7236451136976991,2.3011334137683526,0.22158781758718044,1.5754630414849575,4.2298446875,1.238395703125,1.0197721875,1.1398534375
50,5,5,5,353500.12,125410.35,100595.97,115921.82,-0.3023975720699012,-0.058134522092495165,-0.15554964226441112,-0.1055124200645666,0.7938960067314726,2.565640492000639,0.13873648272181033,1.7426654107650477,3.53500125,1.254103515625,1.0059596875,1.159218203125
50,5,5,10,290232.8,124292.52,101047.43,113701.18,-0.3247199059409049,-0.04174462824851332,-0.15015065083630788,-0.09340239742596673,0.6965163319302314,2.515188437443744,0.1660698997771612,1.635152900605169,2.902328125,1.242925234375,1.010474296875,1.137011796875
50,5,5,20,317727.47,124068.016,97940.13,114226.69,-0.32744616678482574,-0.04370742133450114,-0.09301970230019738,-0.09677221668691226,0.8140013305920087,2.471694947103695,-0.26200242980858973,1.6768466624920624,3.1772746875,1.24068015625,0.979401328125,1.142266875
50,5,10,5,230127.48,124530.04,100849.25,114772.875,-0.341550049739385,-0.06023050450445097,-0.14561138683875116,-0.09916828130100139,0.5455646033681681,2.5317148793360484,0.15224658750404782,1.696842996234553,2.30127484375,1.245300390625,1.0084925,1.14772875
50,5,10,10,916014.2,124846.66,99830.43,115201.06,-0.43715252479915034,-0.046367413180627925,-0.15491663250496668,-0.10238852368481999,0.9521031903958882,2.5013432398240014,0.08966656426229551,1.7218537508039633,9.160141875,1.2484665625,0.998304296875,1.152010625
50,5,10,20,662231.4,123407.734,99576.54,115203.11,-0.39509780875465783,-0.04054912641480957,-0.15351410510788807,-0.12050372672799009,0.8673434907426524,2.4948249051986484,0.06690183653561912,1.6170832459452873,6.62231375,1.23407734375,0.995765390625,1.15203109375
100,3,5,5,220697.86,115191.59,99919.805,104823.234,-0.341498566564879,-0.044676607273535646,-0.13850038511328222,-0.09623294269909922,0.5262495761884766,2.090943640871239,0.10038118654664141,0.8440159928233673,2.20697859375,1.1519159375,0.999198046875,1.04823234375
